,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,pmivae,wiscosin,10,0.1778,0.0129
1,pmivae,wiscosin,20,0.1667,0.0112
2,pmivae,wiscosin,40,0.1669,0.0126
3,pmivae,wiscosin,60,0.1839,0.0152
4,pmivae,pima_diabetes,10,0.1399,0.0153
5,pmivae,pima_diabetes,20,0.1358,0.0099
6,pmivae,pima_diabetes,40,0.1327,0.0111
7,pmivae,pima_diabetes,60,0.1416,0.0196
8,pmivae,bc_coimbra,10,0.2292,0.0462
9,pmivae,bc_coimbra,20,0.2503,0.0394
10,pmivae,bc_coimbra,40,0.2312,0.0544
11,pmivae,bc_coimbra,60,0.2277,0.0407
12,pmivae,indian_liver,10,0.1053,0.0342
13,pmivae,indian_liver,20,0.1042,0.0272
14,pmivae,indian_liver,40,0.1011,0.0247
15,pmivae,indian_liver,60,0.1007,0.0201
16,pmivae,parkinsons,10,0.2099,0.0427
17,pmivae,parkinsons,20,0.1956,0.0365
18,pmivae,parkinsons,40,0.1919,0.0225
19,pmivae,parkinsons,60,0.195,0.0179
20,pmivae,mammographic_masses,10,0.3266,0.0423
21,pmivae,mammographic_masses,20,0.3126,0.0272
22,pmivae,mammographic_masses,40,0.3137,0.0599
23,pmivae,mammographic_masses,60,0.301,0.0474
24,pmivae,hcv_egyptian,10,0.3145,0.0256
25,pmivae,hcv_egyptian,20,0.3181,0.0264
26,pmivae,hcv_egyptian,40,0.3173,0.021
27,pmivae,hcv_egyptian,60,0.3176,0.015
28,pmivae,thoracic_surgey,10,0.123,0.0295
29,pmivae,thoracic_surgey,20,0.1178,0.024
30,pmivae,thoracic_surgey,40,0.1166,0.0172
31,pmivae,thoracic_surgey,60,0.1106,0.022
