,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,knn,wiscosin,10,0.0474,0.006
1,knn,wiscosin,20,0.0448,0.0078
2,knn,wiscosin,40,0.047,0.0033
3,knn,wiscosin,60,0.0524,0.0041
4,knn,pima_diabetes,10,0.1039,0.0114
5,knn,pima_diabetes,20,0.1024,0.0137
6,knn,pima_diabetes,40,0.1008,0.0093
7,knn,pima_diabetes,60,0.1226,0.0106
8,knn,bc_coimbra,10,0.1578,0.0606
9,knn,bc_coimbra,20,0.1916,0.0389
10,knn,bc_coimbra,40,0.1593,0.0431
11,knn,bc_coimbra,60,0.1543,0.0206
12,knn,indian_liver,10,0.1081,0.044
13,knn,indian_liver,20,0.099,0.0426
14,knn,indian_liver,40,0.0914,0.0389
15,knn,indian_liver,60,0.0869,0.0312
16,knn,parkinsons,10,0.0897,0.0189
17,knn,parkinsons,20,0.081,0.0136
18,knn,parkinsons,40,0.0781,0.012
19,knn,parkinsons,60,0.0959,0.0247
20,knn,mammographic_masses,10,0.1126,0.0383
21,knn,mammographic_masses,20,0.1711,0.0381
22,knn,mammographic_masses,40,0.141,0.0143
23,knn,mammographic_masses,60,0.1726,0.058
24,knn,hcv_egyptian,10,0.3112,0.0277
25,knn,hcv_egyptian,20,0.3015,0.0211
26,knn,hcv_egyptian,40,0.337,0.0252
27,knn,hcv_egyptian,60,0.3398,0.0339
28,knn,thoracic_surgey,10,0.0868,0.0194
29,knn,thoracic_surgey,20,0.1237,0.0243
30,knn,thoracic_surgey,40,0.1121,0.0142
31,knn,thoracic_surgey,60,0.1342,0.0363
