,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr3,wiscosin,10,0.0885,0.0164
1,lpr3,wiscosin,20,0.0818,0.0116
2,lpr3,wiscosin,40,0.0844,0.0081
3,lpr3,wiscosin,60,0.0864,0.0087
4,lpr3,pima_diabetes,10,0.1134,0.0094
5,lpr3,pima_diabetes,20,0.1043,0.0189
6,lpr3,pima_diabetes,40,0.1069,0.0072
7,lpr3,pima_diabetes,60,0.12,0.0149
8,lpr3,bc_coimbra,10,0.1178,0.0183
9,lpr3,bc_coimbra,20,0.1812,0.0658
10,lpr3,bc_coimbra,40,0.132,0.0159
11,lpr3,bc_coimbra,60,0.1596,0.0393
12,lpr3,indian_liver,10,0.0843,0.0088
13,lpr3,indian_liver,20,0.117,0.0343
14,lpr3,indian_liver,40,0.0847,0.0216
15,lpr3,indian_liver,60,0.1059,0.0255
16,lpr3,parkinsons,10,0.1085,0.0228
17,lpr3,parkinsons,20,0.1067,0.0179
18,lpr3,parkinsons,40,0.1129,0.0191
19,lpr3,parkinsons,60,0.1356,0.0335
20,lpr3,mammographic_masses,10,0.2059,0.085
21,lpr3,mammographic_masses,20,0.2019,0.0422
22,lpr3,mammographic_masses,40,0.1982,0.0406
23,lpr3,mammographic_masses,60,0.2114,0.0371
24,lpr3,hcv_egyptian,10,0.3186,0.0278
25,lpr3,hcv_egyptian,20,0.3247,0.0248
26,lpr3,hcv_egyptian,40,0.3059,0.0126
27,lpr3,hcv_egyptian,60,0.3038,0.0312
28,lpr3,thoracic_surgey,10,0.148,0.0051
29,lpr3,thoracic_surgey,20,0.1363,0.021
30,lpr3,thoracic_surgey,40,0.1224,0.0218
31,lpr3,thoracic_surgey,60,0.1292,0.03
