,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,pmivae,wiscosin,10,0.1262,0.0149
1,pmivae,wiscosin,20,0.104,0.0104
2,pmivae,wiscosin,40,0.1037,0.0116
3,pmivae,wiscosin,60,0.1116,0.0077
4,pmivae,pima_diabetes,10,0.1333,0.0175
5,pmivae,pima_diabetes,20,0.126,0.0199
6,pmivae,pima_diabetes,40,0.1281,0.0092
7,pmivae,pima_diabetes,60,0.1295,0.0061
8,pmivae,bc_coimbra,10,0.1906,0.0467
9,pmivae,bc_coimbra,20,0.1976,0.0304
10,pmivae,bc_coimbra,40,0.1832,0.0565
11,pmivae,bc_coimbra,60,0.1834,0.0264
12,pmivae,indian_liver,10,0.1071,0.027
13,pmivae,indian_liver,20,0.1082,0.0247
14,pmivae,indian_liver,40,0.1017,0.0253
15,pmivae,indian_liver,60,0.1001,0.0333
16,pmivae,parkinsons,10,0.1796,0.0346
17,pmivae,parkinsons,20,0.152,0.025
18,pmivae,parkinsons,40,0.1451,0.014
19,pmivae,parkinsons,60,0.162,0.0251
20,pmivae,mammographic_masses,10,0.2522,0.1121
21,pmivae,mammographic_masses,20,0.2309,0.0836
22,pmivae,mammographic_masses,40,0.1902,0.044
23,pmivae,mammographic_masses,60,0.2252,0.0467
24,pmivae,hcv_egyptian,10,0.3191,0.0116
25,pmivae,hcv_egyptian,20,0.328,0.0234
26,pmivae,hcv_egyptian,40,0.3109,0.0286
27,pmivae,hcv_egyptian,60,0.3344,0.0201
28,pmivae,thoracic_surgey,10,0.1298,0.0271
29,pmivae,thoracic_surgey,20,0.1086,0.0133
30,pmivae,thoracic_surgey,40,0.0987,0.0193
31,pmivae,thoracic_surgey,60,0.0981,0.0161
