,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr3,wiscosin,10,0.1053,0.0225
1,lpr3,wiscosin,20,0.11,0.0143
2,lpr3,wiscosin,40,0.1007,0.0062
3,lpr3,wiscosin,60,0.1025,0.0078
4,lpr3,pima_diabetes,10,0.1317,0.0113
5,lpr3,pima_diabetes,20,0.1279,0.0122
6,lpr3,pima_diabetes,40,0.1296,0.0115
7,lpr3,pima_diabetes,60,0.1242,0.0078
8,lpr3,bc_coimbra,10,0.1765,0.1012
9,lpr3,bc_coimbra,20,0.14,0.0194
10,lpr3,bc_coimbra,40,0.1453,0.0256
11,lpr3,bc_coimbra,60,0.1673,0.0341
12,lpr3,indian_liver,10,0.1075,0.0152
13,lpr3,indian_liver,20,0.1065,0.0071
14,lpr3,indian_liver,40,0.1088,0.0124
15,lpr3,indian_liver,60,0.1219,0.0033
16,lpr3,parkinsons,10,0.1471,0.0526
17,lpr3,parkinsons,20,0.1534,0.0593
18,lpr3,parkinsons,40,0.15,0.0469
19,lpr3,parkinsons,60,0.1382,0.0323
20,lpr3,mammographic_masses,10,0.2342,0.0461
21,lpr3,mammographic_masses,20,0.2386,0.0149
22,lpr3,mammographic_masses,40,0.2446,0.0101
23,lpr3,mammographic_masses,60,0.2587,0.014
24,lpr3,hcv_egyptian,10,0.3217,0.0059
25,lpr3,hcv_egyptian,20,0.3165,0.0055
26,lpr3,hcv_egyptian,40,0.3149,0.0056
27,lpr3,hcv_egyptian,60,0.3184,0.0043
28,lpr3,thoracic_surgey,10,0.1301,0.0208
29,lpr3,thoracic_surgey,20,0.1342,0.0161
30,lpr3,thoracic_surgey,40,0.1442,0.0154
31,lpr3,thoracic_surgey,60,0.1427,0.0126
