,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mice,wiscosin,10,0.0894,0.0239
1,mice,wiscosin,20,0.0761,0.0085
2,mice,wiscosin,40,0.0759,0.006
3,mice,wiscosin,60,0.0826,0.0099
4,mice,pima_diabetes,10,0.1195,0.0106
5,mice,pima_diabetes,20,0.1189,0.0121
6,mice,pima_diabetes,40,0.1214,0.0074
7,mice,pima_diabetes,60,0.1207,0.0053
8,mice,bc_coimbra,10,0.173,0.0442
9,mice,bc_coimbra,20,0.1803,0.039
10,mice,bc_coimbra,40,0.159,0.03
11,mice,bc_coimbra,60,0.1843,0.0763
12,mice,indian_liver,10,0.1079,0.0124
13,mice,indian_liver,20,0.1156,0.0105
14,mice,indian_liver,40,0.1149,0.0097
15,mice,indian_liver,60,0.1148,0.0122
16,mice,parkinsons,10,0.0993,0.015
17,mice,parkinsons,20,0.1133,0.0282
18,mice,parkinsons,40,0.1143,0.0346
19,mice,parkinsons,60,0.1934,0.1417
20,mice,mammographic_masses,10,0.2593,0.0237
21,mice,mammographic_masses,20,0.2659,0.0051
22,mice,mammographic_masses,40,0.2626,0.0192
23,mice,mammographic_masses,60,0.2495,0.0111
24,mice,hcv_egyptian,10,0.3158,0.0073
25,mice,hcv_egyptian,20,0.3139,0.0042
26,mice,hcv_egyptian,40,0.3175,0.008
27,mice,hcv_egyptian,60,0.3151,0.0049
28,mice,thoracic_surgey,10,0.1704,0.0351
29,mice,thoracic_surgey,20,0.1546,0.0109
30,mice,thoracic_surgey,40,0.1453,0.0098
31,mice,thoracic_surgey,60,0.1491,0.0115
