,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr0,wiscosin,10,0.1236,0.0103
1,lpr0,wiscosin,20,0.1176,0.0068
2,lpr0,wiscosin,40,0.1162,0.0058
3,lpr0,wiscosin,60,0.1175,0.0081
4,lpr0,pima_diabetes,10,0.1786,0.0204
5,lpr0,pima_diabetes,20,0.1659,0.0161
6,lpr0,pima_diabetes,40,0.1653,0.0106
7,lpr0,pima_diabetes,60,0.1701,0.0106
8,lpr0,bc_coimbra,10,0.1785,0.0651
9,lpr0,bc_coimbra,20,0.1685,0.0228
10,lpr0,bc_coimbra,40,0.1891,0.0254
11,lpr0,bc_coimbra,60,0.1899,0.033
12,lpr0,indian_liver,10,0.1857,0.0119
13,lpr0,indian_liver,20,0.1732,0.01
14,lpr0,indian_liver,40,0.1691,0.0114
15,lpr0,indian_liver,60,0.154,0.0038
16,lpr0,parkinsons,10,0.1498,0.013
17,lpr0,parkinsons,20,0.1556,0.0213
18,lpr0,parkinsons,40,0.1606,0.0239
19,lpr0,parkinsons,60,0.1676,0.0217
20,lpr0,mammographic_masses,10,0.1889,0.0159
21,lpr0,mammographic_masses,20,0.1965,0.0109
22,lpr0,mammographic_masses,40,0.2034,0.0029
23,lpr0,mammographic_masses,60,0.2296,0.008
24,lpr0,hcv_egyptian,10,0.4023,0.0102
25,lpr0,hcv_egyptian,20,0.4093,0.0022
26,lpr0,hcv_egyptian,40,0.419,0.005
27,lpr0,hcv_egyptian,60,0.4288,0.0043
28,lpr0,thoracic_surgey,10,0.1622,0.0109
29,lpr0,thoracic_surgey,20,0.1726,0.0098
30,lpr0,thoracic_surgey,40,0.1702,0.01
31,lpr0,thoracic_surgey,60,0.1697,0.0136
