,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mean,wiscosin,10,0.158,0.0065
1,mean,wiscosin,20,0.1552,0.006
2,mean,wiscosin,40,0.1521,0.0064
3,mean,wiscosin,60,0.1569,0.0069
4,mean,pima_diabetes,10,0.194,0.0101
5,mean,pima_diabetes,20,0.179,0.0115
6,mean,pima_diabetes,40,0.1794,0.0112
7,mean,pima_diabetes,60,0.1816,0.0116
8,mean,bc_coimbra,10,0.1917,0.0124
9,mean,bc_coimbra,20,0.2047,0.0181
10,mean,bc_coimbra,40,0.2059,0.028
11,mean,bc_coimbra,60,0.2048,0.0425
12,mean,indian_liver,10,0.1785,0.0062
13,mean,indian_liver,20,0.1705,0.0105
14,mean,indian_liver,40,0.1663,0.0078
15,mean,indian_liver,60,0.1619,0.0083
16,mean,parkinsons,10,0.1957,0.0196
17,mean,parkinsons,20,0.1903,0.0216
18,mean,parkinsons,40,0.1869,0.0183
19,mean,parkinsons,60,0.1945,0.0174
20,mean,mammographic_masses,10,0.2659,0.0117
21,mean,mammographic_masses,20,0.2715,0.0074
22,mean,mammographic_masses,40,0.281,0.0043
23,mean,mammographic_masses,60,0.3001,0.003
24,mean,hcv_egyptian,10,0.3949,0.0082
25,mean,hcv_egyptian,20,0.3987,0.0037
26,mean,hcv_egyptian,40,0.4078,0.0032
27,mean,hcv_egyptian,60,0.4188,0.0055
28,mean,thoracic_surgey,10,0.1739,0.0039
29,mean,thoracic_surgey,20,0.1762,0.0079
30,mean,thoracic_surgey,40,0.1802,0.0075
31,mean,thoracic_surgey,60,0.1779,0.0142
