,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mice,wiscosin,10,0.0496,0.0084
1,mice,wiscosin,20,0.0758,0.006
2,mice,wiscosin,40,0.0924,0.0039
3,mice,wiscosin,60,0.1076,0.0061
4,mice,pima_diabetes,10,0.1658,0.0125
5,mice,pima_diabetes,20,0.1549,0.0113
6,mice,pima_diabetes,40,0.1722,0.0133
7,mice,pima_diabetes,60,0.1791,0.0108
8,mice,bc_coimbra,10,0.1699,0.0223
9,mice,bc_coimbra,20,0.1676,0.011
10,mice,bc_coimbra,40,0.2201,0.0431
11,mice,bc_coimbra,60,0.2268,0.0323
12,mice,indian_liver,10,0.1425,0.013
13,mice,indian_liver,20,0.1431,0.0113
14,mice,indian_liver,40,0.1573,0.0026
15,mice,indian_liver,60,0.1508,0.0106
16,mice,parkinsons,10,0.0947,0.0201
17,mice,parkinsons,20,0.1063,0.0208
18,mice,parkinsons,40,0.1303,0.0206
19,mice,parkinsons,60,0.1543,0.0173
20,mice,mammographic_masses,10,0.1114,0.0225
21,mice,mammographic_masses,20,0.1387,0.0212
22,mice,mammographic_masses,40,0.1681,0.0057
23,mice,mammographic_masses,60,0.2259,0.0166
24,mice,hcv_egyptian,10,0.3892,0.0051
25,mice,hcv_egyptian,20,0.3941,0.0058
26,mice,hcv_egyptian,40,0.4167,0.0094
27,mice,hcv_egyptian,60,0.4367,0.0041
28,mice,thoracic_surgey,10,0.1362,0.0082
29,mice,thoracic_surgey,20,0.1451,0.0117
30,mice,thoracic_surgey,40,0.1944,0.0584
31,mice,thoracic_surgey,60,0.2058,0.013
