,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr0,wiscosin,10,"0,097","0,018"
1,lpr0,wiscosin,20,"0,0832","0,0128"
2,lpr0,wiscosin,40,"0,082","0,0067"
3,lpr0,wiscosin,60,"0,0879","0,0135"
4,lpr0,pima_diabetes,10,"0,1228","0,018"
5,lpr0,pima_diabetes,20,"0,1085","0,02"
6,lpr0,pima_diabetes,40,"0,1128","0,0101"
7,lpr0,pima_diabetes,60,"0,1205","0,0084"
8,lpr0,bc_coimbra,10,"0,1303","0,0339"
9,lpr0,bc_coimbra,20,"0,1631","0,06"
10,lpr0,bc_coimbra,40,"0,1296","0,0403"
11,lpr0,bc_coimbra,60,"0,1814","0,0517"
12,lpr0,indian_liver,10,"0,1158","0,0474"
13,lpr0,indian_liver,20,"0,1175","0,0197"
14,lpr0,indian_liver,40,"0,0949","0,0357"
15,lpr0,indian_liver,60,"0,0931","0,0278"
16,lpr0,parkinsons,10,"0,1132","0,0232"
17,lpr0,parkinsons,20,"0,1039","0,025"
18,lpr0,parkinsons,40,"0,1152","0,0213"
19,lpr0,parkinsons,60,"0,1306","0,0295"
20,lpr0,mammographic_masses,10,"0,1966","0,0416"
21,lpr0,mammographic_masses,20,"0,2115","0,045"
22,lpr0,mammographic_masses,40,"0,2","0,0251"
23,lpr0,mammographic_masses,60,"0,2113","0,0217"
24,lpr0,hcv_egyptian,10,"0,2934","0,0412"
25,lpr0,hcv_egyptian,20,"0,3163","0,0355"
26,lpr0,hcv_egyptian,40,"0,3283","0,0122"
27,lpr0,hcv_egyptian,60,"0,3118","0,0308"
28,lpr0,thoracic_surgey,10,"0,147","0,0273"
29,lpr0,thoracic_surgey,20,"0,1319","0,0279"
30,lpr0,thoracic_surgey,40,"0,1515","0,0161"
31,lpr0,thoracic_surgey,60,"0,1472","0,0163"
