,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,saei,wiscosin,10,"0,1054","0,0104"
1,saei,wiscosin,20,"0,1068","0,0364"
2,saei,wiscosin,40,"0,1126","0,0215"
3,saei,wiscosin,60,"0,1281","0,0092"
4,saei,pima_diabetes,10,"0,1238","0,0247"
5,saei,pima_diabetes,20,"0,1117","0,0243"
6,saei,pima_diabetes,40,"0,1399","0,0263"
7,saei,pima_diabetes,60,"0,139","0,0065"
8,saei,bc_coimbra,10,"0,2051","0,0785"
9,saei,bc_coimbra,20,"0,2054","0,0916"
10,saei,bc_coimbra,40,"0,1798","0,0324"
11,saei,bc_coimbra,60,"0,1865","0,075"
12,saei,indian_liver,10,"0,1231","0,0531"
13,saei,indian_liver,20,"0,1054","0,0141"
14,saei,indian_liver,40,"0,1048","0,0296"
15,saei,indian_liver,60,"0,1047","0,0265"
16,saei,parkinsons,10,"0,1812","0,0562"
17,saei,parkinsons,20,"0,1814","0,1121"
18,saei,parkinsons,40,"0,1708","0,0311"
19,saei,parkinsons,60,"0,183","0,041"
20,saei,mammographic_masses,10,"0,2516","0,0561"
21,saei,mammographic_masses,20,"0,2354","0,0739"
22,saei,mammographic_masses,40,"0,2243","0,0559"
23,saei,mammographic_masses,60,"0,2182","0,0189"
24,saei,hcv_egyptian,10,"0,3206","0,037"
25,saei,hcv_egyptian,20,"0,3643","0,0162"
26,saei,hcv_egyptian,40,"0,3375","0,031"
27,saei,hcv_egyptian,60,"0,3406","0,0095"
28,saei,thoracic_surgey,10,"0,1464","0,0904"
29,saei,thoracic_surgey,20,"0,1637","0,0367"
30,saei,thoracic_surgey,40,"0,1638","0,0137"
31,saei,thoracic_surgey,60,"0,138","0,0289"
