,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,knn,wiscosin,10,0.0845,0.0184
1,knn,wiscosin,20,0.0785,0.0136
2,knn,wiscosin,40,0.0837,0.005
3,knn,wiscosin,60,0.0895,0.0074
4,knn,pima_diabetes,10,0.1271,0.022
5,knn,pima_diabetes,20,0.1254,0.0154
6,knn,pima_diabetes,40,0.1274,0.0086
7,knn,pima_diabetes,60,0.1294,0.0051
8,knn,bc_coimbra,10,0.1419,0.0261
9,knn,bc_coimbra,20,0.1655,0.0708
10,knn,bc_coimbra,40,0.168,0.0392
11,knn,bc_coimbra,60,0.1811,0.0433
12,knn,indian_liver,10,0.1166,0.0148
13,knn,indian_liver,20,0.1108,0.01
14,knn,indian_liver,40,0.109,0.0172
15,knn,indian_liver,60,0.12,0.0058
16,knn,parkinsons,10,0.0842,0.0083
17,knn,parkinsons,20,0.1037,0.0253
18,knn,parkinsons,40,0.1036,0.0225
19,knn,parkinsons,60,0.1197,0.0277
20,knn,mammographic_masses,10,0.2401,0.019
21,knn,mammographic_masses,20,0.2353,0.0285
22,knn,mammographic_masses,40,0.2419,0.0112
23,knn,mammographic_masses,60,0.2457,0.0177
24,knn,hcv_egyptian,10,0.3202,0.0059
25,knn,hcv_egyptian,20,0.3276,0.006
26,knn,hcv_egyptian,40,0.3249,0.004
27,knn,hcv_egyptian,60,0.3267,0.0058
28,knn,thoracic_surgey,10,0.1373,0.0158
29,knn,thoracic_surgey,20,0.1321,0.0082
30,knn,thoracic_surgey,40,0.1276,0.009
31,knn,thoracic_surgey,60,0.1433,0.0163
