,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr7,wiscosin,10,0.1034,0.0164
1,lpr7,wiscosin,20,0.0955,0.0096
2,lpr7,wiscosin,40,0.1037,0.0128
3,lpr7,wiscosin,60,0.1,0.01
4,lpr7,pima_diabetes,10,0.1257,0.011
5,lpr7,pima_diabetes,20,0.127,0.011
6,lpr7,pima_diabetes,40,0.1287,0.0167
7,lpr7,pima_diabetes,60,0.1259,0.0085
8,lpr7,bc_coimbra,10,0.132,0.0514
9,lpr7,bc_coimbra,20,0.1575,0.0382
10,lpr7,bc_coimbra,40,0.1681,0.0115
11,lpr7,bc_coimbra,60,0.1943,0.0492
12,lpr7,indian_liver,10,0.1108,0.0109
13,lpr7,indian_liver,20,0.1106,0.0073
14,lpr7,indian_liver,40,0.1121,0.0133
15,lpr7,indian_liver,60,0.118,0.0131
16,lpr7,parkinsons,10,0.1189,0.0204
17,lpr7,parkinsons,20,0.1105,0.0099
18,lpr7,parkinsons,40,0.1374,0.0292
19,lpr7,parkinsons,60,0.1546,0.0197
20,lpr7,mammographic_masses,10,0.2475,0.0217
21,lpr7,mammographic_masses,20,0.2503,0.0118
22,lpr7,mammographic_masses,40,0.2361,0.0136
23,lpr7,mammographic_masses,60,0.2538,0.0097
24,lpr7,hcv_egyptian,10,0.3216,0.0042
25,lpr7,hcv_egyptian,20,0.3209,0.0053
26,lpr7,hcv_egyptian,40,0.3167,0.0059
27,lpr7,hcv_egyptian,60,0.3169,0.0051
28,lpr7,thoracic_surgey,10,0.1486,0.0215
29,lpr7,thoracic_surgey,20,0.1431,0.0103
30,lpr7,thoracic_surgey,40,0.1452,0.016
31,lpr7,thoracic_surgey,60,0.1447,0.0155
