,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mean,wiscosin,10,0.1203,0.0115
1,mean,wiscosin,20,0.1157,0.0069
2,mean,wiscosin,40,0.1116,0.004
3,mean,wiscosin,60,0.1147,0.0057
4,mean,pima_diabetes,10,0.1233,0.0119
5,mean,pima_diabetes,20,0.1245,0.0092
6,mean,pima_diabetes,40,0.1246,0.0099
7,mean,pima_diabetes,60,0.1278,0.0107
8,mean,bc_coimbra,10,0.1667,0.0705
9,mean,bc_coimbra,20,0.1476,0.0253
10,mean,bc_coimbra,40,0.177,0.0402
11,mean,bc_coimbra,60,0.1812,0.0453
12,mean,indian_liver,10,0.1288,0.0165
13,mean,indian_liver,20,0.1192,0.0071
14,mean,indian_liver,40,0.1234,0.0121
15,mean,indian_liver,60,0.1209,0.0073
16,mean,parkinsons,10,0.1337,0.0404
17,mean,parkinsons,20,0.1616,0.0647
18,mean,parkinsons,40,0.1377,0.0281
19,mean,parkinsons,60,0.1514,0.0361
20,mean,mammographic_masses,10,0.2791,0.0148
21,mean,mammographic_masses,20,0.2669,0.0065
22,mean,mammographic_masses,40,0.2699,0.0047
23,mean,mammographic_masses,60,0.2771,0.0046
24,mean,hcv_egyptian,10,0.3172,0.0077
25,mean,hcv_egyptian,20,0.3186,0.0051
26,mean,hcv_egyptian,40,0.3172,0.0048
27,mean,hcv_egyptian,60,0.3186,0.0045
28,mean,thoracic_surgey,10,0.1369,0.0155
29,mean,thoracic_surgey,20,0.1537,0.009
30,mean,thoracic_surgey,40,0.1467,0.0098
31,mean,thoracic_surgey,60,0.148,0.0105
