,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,saei,wiscosin,10,0.1118,0.0177
1,saei,wiscosin,20,0.1185,0.0168
2,saei,wiscosin,40,0.1076,0.0118
3,saei,wiscosin,60,0.1412,0.0273
4,saei,pima_diabetes,10,0.139,0.0111
5,saei,pima_diabetes,20,0.1439,0.0163
6,saei,pima_diabetes,40,0.1405,0.0155
7,saei,pima_diabetes,60,0.142,0.0125
8,saei,bc_coimbra,10,0.2279,0.0962
9,saei,bc_coimbra,20,0.1547,0.0682
10,saei,bc_coimbra,40,0.1709,0.0526
11,saei,bc_coimbra,60,0.1714,0.0464
12,saei,indian_liver,10,0.1243,0.0259
13,saei,indian_liver,20,0.1286,0.0226
14,saei,indian_liver,40,0.1095,0.0117
15,saei,indian_liver,60,0.1189,0.0058
16,saei,parkinsons,10,0.158,0.0277
17,saei,parkinsons,20,0.1771,0.0499
18,saei,parkinsons,40,0.1729,0.0523
19,saei,parkinsons,60,0.1597,0.024
20,saei,mammographic_masses,10,0.2193,0.0079
21,saei,mammographic_masses,20,0.2203,0.0161
22,saei,mammographic_masses,40,0.2569,0.0162
23,saei,mammographic_masses,60,0.2441,0.0158
24,saei,hcv_egyptian,10,0.3269,0.0087
25,saei,hcv_egyptian,20,0.3247,0.0059
26,saei,hcv_egyptian,40,0.3265,0.0055
27,saei,hcv_egyptian,60,0.3218,0.0076
28,saei,thoracic_surgey,10,0.1428,0.038
29,saei,thoracic_surgey,20,0.1381,0.0174
30,saei,thoracic_surgey,40,0.1228,0.0193
31,saei,thoracic_surgey,60,0.1202,0.0212
