,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr1,wiscosin,10,0.1192,0.0079
1,lpr1,wiscosin,20,0.1158,0.011
2,lpr1,wiscosin,40,0.1158,0.0076
3,lpr1,wiscosin,60,0.118,0.0069
4,lpr1,pima_diabetes,10,0.1772,0.0203
5,lpr1,pima_diabetes,20,0.1673,0.0132
6,lpr1,pima_diabetes,40,0.1641,0.0121
7,lpr1,pima_diabetes,60,0.1695,0.0109
8,lpr1,bc_coimbra,10,0.163,0.029
9,lpr1,bc_coimbra,20,0.1753,0.0081
10,lpr1,bc_coimbra,40,0.1722,0.006
11,lpr1,bc_coimbra,60,0.1928,0.03
12,lpr1,indian_liver,10,0.1783,0.0085
13,lpr1,indian_liver,20,0.1771,0.0179
14,lpr1,indian_liver,40,0.1678,0.0084
15,lpr1,indian_liver,60,0.1546,0.0069
16,lpr1,parkinsons,10,0.1459,0.0219
17,lpr1,parkinsons,20,0.1501,0.0165
18,lpr1,parkinsons,40,0.164,0.0238
19,lpr1,parkinsons,60,0.1718,0.0171
20,lpr1,mammographic_masses,10,0.1939,0.0104
21,lpr1,mammographic_masses,20,0.1939,0.007
22,lpr1,mammographic_masses,40,0.2048,0.0071
23,lpr1,mammographic_masses,60,0.2295,0.0061
24,lpr1,hcv_egyptian,10,0.4036,0.0079
25,lpr1,hcv_egyptian,20,0.4068,0.0036
26,lpr1,hcv_egyptian,40,0.4209,0.0051
27,lpr1,hcv_egyptian,60,0.4287,0.0045
28,lpr1,thoracic_surgey,10,0.1721,0.0105
29,lpr1,thoracic_surgey,20,0.1743,0.0126
30,lpr1,thoracic_surgey,40,0.1718,0.008
31,lpr1,thoracic_surgey,60,0.17,0.0112
