,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mean,wiscosin,10,0.1751,0.0132
1,mean,wiscosin,20,0.1642,0.0114
2,mean,wiscosin,40,0.166,0.0128
3,mean,wiscosin,60,0.1824,0.0155
4,mean,pima_diabetes,10,0.1388,0.0156
5,mean,pima_diabetes,20,0.1352,0.0103
6,mean,pima_diabetes,40,0.1322,0.0118
7,mean,pima_diabetes,60,0.1409,0.0203
8,mean,bc_coimbra,10,0.201,0.0622
9,mean,bc_coimbra,20,0.2274,0.0564
10,mean,bc_coimbra,40,0.2176,0.0554
11,mean,bc_coimbra,60,0.2117,0.0522
12,mean,indian_liver,10,0.1078,0.0424
13,mean,indian_liver,20,0.1076,0.0351
14,mean,indian_liver,40,0.1045,0.0325
15,mean,indian_liver,60,0.1049,0.0315
16,mean,parkinsons,10,0.1899,0.0491
17,mean,parkinsons,20,0.1786,0.0388
18,mean,parkinsons,40,0.1718,0.0274
19,mean,parkinsons,60,0.1826,0.0189
20,mean,mammographic_masses,10,0.391,0.0336
21,mean,mammographic_masses,20,0.3836,0.0246
22,mean,mammographic_masses,40,0.3735,0.0232
23,mean,mammographic_masses,60,0.3619,0.0243
24,mean,hcv_egyptian,10,0.313,0.0097
25,mean,hcv_egyptian,20,0.3147,0.0083
26,mean,hcv_egyptian,40,0.316,0.0079
27,mean,hcv_egyptian,60,0.3147,0.0088
28,mean,thoracic_surgey,10,0.1673,0.0264
29,mean,thoracic_surgey,20,0.1682,0.0294
30,mean,thoracic_surgey,40,0.1604,0.0219
31,mean,thoracic_surgey,60,0.1575,0.0235
32,knn,wiscosin,10,0.0647,0.0107
33,knn,wiscosin,20,0.0624,0.0074
34,knn,wiscosin,40,0.0716,0.0067
35,knn,wiscosin,60,0.094,0.011
36,knn,pima_diabetes,10,0.1009,0.0106
37,knn,pima_diabetes,20,0.1085,0.0109
38,knn,pima_diabetes,40,0.1079,0.0045
39,knn,pima_diabetes,60,0.111,0.0103
40,knn,bc_coimbra,10,0.1568,0.0669
41,knn,bc_coimbra,20,0.208,0.0738
42,knn,bc_coimbra,40,0.1957,0.0612
43,knn,bc_coimbra,60,0.2005,0.0591
44,knn,indian_liver,10,0.0743,0.0519
45,knn,indian_liver,20,0.0789,0.0492
46,knn,indian_liver,40,0.0783,0.0449
47,knn,indian_liver,60,0.0807,0.0351
48,knn,parkinsons,10,0.0889,0.0273
49,knn,parkinsons,20,0.0904,0.0229
50,knn,parkinsons,40,0.095,0.0159
51,knn,parkinsons,60,0.1162,0.0153
52,knn,mammographic_masses,10,0.1674,0.0551
53,knn,mammographic_masses,20,0.1969,0.0369
54,knn,mammographic_masses,40,0.2271,0.0549
55,knn,mammographic_masses,60,0.2623,0.0361
56,knn,hcv_egyptian,10,0.3203,0.0136
57,knn,hcv_egyptian,20,0.3237,0.0088
58,knn,hcv_egyptian,40,0.3223,0.0091
59,knn,hcv_egyptian,60,0.322,0.0089
60,knn,thoracic_surgey,10,0.1168,0.0451
61,knn,thoracic_surgey,20,0.1112,0.0398
62,knn,thoracic_surgey,40,0.133,0.0408
63,knn,thoracic_surgey,60,0.1403,0.035
