,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9596,0.9391,0.9536
1,wiscosin,20,0.9561,0.9248,0.9572
2,wiscosin,40,0.9596,0.9391,0.9532
3,wiscosin,60,0.9438,0.9012,0.9474
4,pima_diabetes,10,0.7604,0.5153,0.7243
5,pima_diabetes,20,0.7462,0.4671,0.7115
6,pima_diabetes,40,0.7396,0.4256,0.72
7,pima_diabetes,60,0.7123,0.407,0.6371
8,bc_coimbra,10,0.6815,0.5945,0.7064
9,bc_coimbra,20,0.6895,0.6291,0.7092
10,bc_coimbra,40,0.5862,0.5491,0.5541
11,bc_coimbra,60,0.5341,0.4327,0.3676
12,indian_liver,10,0.7081,0.8818,0.754
13,indian_liver,20,0.7064,0.8939,0.7469
14,indian_liver,40,0.6944,0.8915,0.7377
15,indian_liver,60,0.7081,0.9397,0.7298
16,parkinsons,10,0.8,0.946,0.8243
17,parkinsons,20,0.7949,0.9253,0.8333
18,parkinsons,40,0.8256,0.946,0.8543
19,parkinsons,60,0.7487,0.8855,0.8048
20,mammographic_masses,10,0.8012,0.831,0.7778
21,mammographic_masses,20,0.7952,0.826,0.7716
22,mammographic_masses,40,0.7831,0.806,0.7644
23,mammographic_masses,60,0.7386,0.7788,0.7114
24,hcv_egyptian,10,0.2383,0.2383,0.2383
25,hcv_egyptian,20,0.2383,0.2383,0.2383
26,hcv_egyptian,40,0.252,0.252,0.252
27,hcv_egyptian,60,0.239,0.239,0.239
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8489,0.0,0.0
31,thoracic_surgey,60,0.8468,0.0143,0.2
