,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9385,0.906,0.9308
1,wiscosin,20,0.9385,0.9107,0.9253
2,wiscosin,40,0.9297,0.8543,0.9533
3,wiscosin,60,0.9069,0.7973,0.9452
4,pima_diabetes,10,0.7448,0.5374,0.666
5,pima_diabetes,20,0.7136,0.4927,0.612
6,pima_diabetes,40,0.698,0.4522,0.5837
7,pima_diabetes,60,0.6888,0.4407,0.5732
8,bc_coimbra,10,0.6906,0.58,0.7389
9,bc_coimbra,20,0.6714,0.4964,0.6883
10,bc_coimbra,40,0.6029,0.4909,0.4784
11,bc_coimbra,60,0.5435,0.3236,0.3351
12,indian_liver,10,0.7323,0.8987,0.7704
13,indian_liver,20,0.6961,0.906,0.732
14,indian_liver,40,0.715,0.9638,0.7269
15,indian_liver,60,0.7098,0.9614,0.7239
16,parkinsons,10,0.7846,0.9117,0.8336
17,parkinsons,20,0.7385,0.9329,0.7707
18,parkinsons,40,0.7385,0.9467,0.765
19,parkinsons,60,0.7487,0.9933,0.7526
20,mammographic_masses,10,0.794,0.8386,0.7624
21,mammographic_masses,20,0.7904,0.8659,0.7449
22,mammographic_masses,40,0.7663,0.8336,0.7262
23,mammographic_masses,60,0.7651,0.8388,0.7215
24,hcv_egyptian,10,0.2397,0.2397,0.2397
25,hcv_egyptian,20,0.2563,0.2563,0.2563
26,hcv_egyptian,40,0.2469,0.2469,0.2469
27,hcv_egyptian,60,0.2412,0.2412,0.2412
28,thoracic_surgey,10,0.8468,0.0143,0.2
29,thoracic_surgey,20,0.8362,0.0,0.0
30,thoracic_surgey,40,0.8383,0.0571,0.3333
31,thoracic_surgey,60,0.8106,0.0143,0.025
