,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9508,0.9202,0.9491
1,wiscosin,20,0.9508,0.9011,0.9659
2,wiscosin,40,0.9017,0.8168,0.916
3,wiscosin,60,0.8946,0.7927,0.919
4,pima_diabetes,10,0.7579,0.53,0.7049
5,pima_diabetes,20,0.7657,0.5115,0.7432
6,pima_diabetes,40,0.7226,0.4403,0.6646
7,pima_diabetes,60,0.7058,0.336,0.6608
8,bc_coimbra,10,0.6554,0.5218,0.6833
9,bc_coimbra,20,0.6739,0.5782,0.7043
10,bc_coimbra,40,0.6558,0.56,0.6476
11,bc_coimbra,60,0.5587,0.4236,0.5806
12,indian_liver,10,0.7065,0.9036,0.7421
13,indian_liver,20,0.6943,0.9108,0.73
14,indian_liver,40,0.6892,0.918,0.7222
15,indian_liver,60,0.7047,0.9132,0.7374
16,parkinsons,10,0.7897,0.9317,0.8254
17,parkinsons,20,0.7641,0.9113,0.8135
18,parkinsons,40,0.8,0.932,0.8302
19,parkinsons,60,0.7538,0.9051,0.7985
20,mammographic_masses,10,0.7783,0.8385,0.7423
21,mammographic_masses,20,0.7783,0.8287,0.7454
22,mammographic_masses,40,0.7361,0.7716,0.7106
23,mammographic_masses,60,0.7157,0.6899,0.742
24,hcv_egyptian,10,0.2339,0.2339,0.2339
25,hcv_egyptian,20,0.2542,0.2542,0.2542
26,hcv_egyptian,40,0.2477,0.2477,0.2477
27,hcv_egyptian,60,0.2606,0.2606,0.2606
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8489,0.0,0.0
