,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.594,0.0804,0.2785
1,wiscosin,20,0.5958,0.1226,0.361
2,wiscosin,40,0.6063,0.1089,0.3655
3,wiscosin,60,0.5957,0.1086,0.3523
4,pima_diabetes,10,0.6432,0.0561,0.3615
5,pima_diabetes,20,0.6497,0.0262,0.5524
6,pima_diabetes,40,0.6394,0.0261,0.3371
7,pima_diabetes,60,0.6394,0.0412,0.44
8,bc_coimbra,10,0.5598,0.44,0.4833
9,bc_coimbra,20,0.5007,0.4109,0.4299
10,bc_coimbra,40,0.5167,0.4436,0.4474
11,bc_coimbra,60,0.4917,0.2709,0.4013
12,indian_liver,10,0.6995,0.9589,0.7166
13,indian_liver,20,0.7012,0.9734,0.7132
14,indian_liver,40,0.7219,1.0,0.72
15,indian_liver,60,0.7064,0.9783,0.7155
16,parkinsons,10,0.7436,0.9455,0.7688
17,parkinsons,20,0.7231,0.932,0.7572
18,parkinsons,40,0.7128,0.9395,0.746
19,parkinsons,60,0.7385,0.9589,0.7583
20,mammographic_masses,10,0.5241,0.3796,0.5186
21,mammographic_masses,20,0.5217,0.439,0.5123
22,mammographic_masses,40,0.4988,0.3995,0.4841
23,mammographic_masses,60,0.4867,0.3575,0.461
24,hcv_egyptian,10,0.2419,0.2419,0.2419
25,hcv_egyptian,20,0.2578,0.2578,0.2578
26,hcv_egyptian,40,0.244,0.244,0.244
27,hcv_egyptian,60,0.2549,0.2549,0.2549
28,thoracic_surgey,10,0.8447,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8447,0.0,0.0
