,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
0,wiscosin,10,0.0981 ± 0.0216,0.0894 ± 0.0239,0.1076 ± 0.0216,0.1134 ± 0.0145,0.0985 ± 0.0142,0.0916 ± 0.0183,0.0993 ± 0.0223,0.1036 ± 0.017,0.1053 ± 0.0225
1,wiscosin,20,0.0779 ± 0.0135,0.0761 ± 0.0085,0.1097 ± 0.0071,0.114 ± 0.0191,0.1116 ± 0.0054,0.1066 ± 0.0254,0.1003 ± 0.0138,0.0927 ± 0.0163,0.11 ± 0.0143
2,wiscosin,40,0.0837 ± 0.0132,0.0759 ± 0.006,0.1132 ± 0.0062,0.1221 ± 0.0065,0.1096 ± 0.0064,0.1069 ± 0.0113,0.1106 ± 0.0176,0.1004 ± 0.0109,0.1007 ± 0.0062
3,wiscosin,60,0.0894 ± 0.0076,0.0826 ± 0.0099,0.1122 ± 0.0093,0.1372 ± 0.023,0.1104 ± 0.0061,0.1005 ± 0.0059,0.102 ± 0.0093,0.1056 ± 0.0139,0.1025 ± 0.0078
4,pima_diabetes,10,0.1283 ± 0.0075,0.1195 ± 0.0106,0.1201 ± 0.0108,0.1378 ± 0.0196,0.1287 ± 0.0124,0.1211 ± 0.0227,0.121 ± 0.0153,0.1248 ± 0.0181,0.1317 ± 0.0113
5,pima_diabetes,20,0.1272 ± 0.0033,0.1189 ± 0.0121,0.1228 ± 0.0054,0.1322 ± 0.0087,0.1317 ± 0.0099,0.132 ± 0.0122,0.1242 ± 0.011,0.1274 ± 0.0085,0.1279 ± 0.0122
6,pima_diabetes,40,0.1316 ± 0.0097,0.1214 ± 0.0074,0.1297 ± 0.0037,0.143 ± 0.0143,0.1306 ± 0.0087,0.1262 ± 0.0109,0.1231 ± 0.0071,0.1241 ± 0.0101,0.1296 ± 0.0115
7,pima_diabetes,60,0.1289 ± 0.0074,0.1207 ± 0.0053,0.1265 ± 0.0095,0.152 ± 0.0166,0.1268 ± 0.0035,0.1241 ± 0.007,0.124 ± 0.009,0.1218 ± 0.0048,0.1242 ± 0.0078
8,bc_coimbra,10,0.1617 ± 0.0305,0.173 ± 0.0442,0.1801 ± 0.0516,0.1875 ± 0.057,0.15 ± 0.0441,0.1703 ± 0.034,0.1328 ± 0.0356,0.1341 ± 0.0443,0.1765 ± 0.1012
9,bc_coimbra,20,0.183 ± 0.0505,0.1803 ± 0.039,0.1771 ± 0.0538,0.1805 ± 0.11,0.1699 ± 0.0677,0.2174 ± 0.0772,0.1862 ± 0.0848,0.1789 ± 0.0469,0.14 ± 0.0194
