Model,Dataset,Missing Rate (%),Métrica,Teste
mean,sylva_prior,10,MAE,0.0813403812636163
mean,sylva_prior,10,MAE,0.0793350215827233
mean,sylva_prior,10,MAE,0.078883809373189
mean,sylva_prior,10,MAE,0.0805674019472546
mean,sylva_prior,10,MAE,0.0811313416672745
mean,sylva_prior,20,MAE,0.0807401600128378
mean,sylva_prior,20,MAE,0.0798985907107816
mean,sylva_prior,20,MAE,0.0799113533786061
mean,sylva_prior,20,MAE,0.0798599004997353
mean,sylva_prior,20,MAE,0.0796521244277005
mean,sylva_prior,40,MAE,0.0808676639780019
mean,sylva_prior,40,MAE,0.0802036633527727
mean,sylva_prior,40,MAE,0.0799491161270352
mean,sylva_prior,40,MAE,0.0798101642330103
mean,sylva_prior,40,MAE,0.079941397622012
mean,sylva_prior,60,MAE,0.0804516831870319
mean,sylva_prior,60,MAE,0.0803993878792311
mean,sylva_prior,60,MAE,0.0808619801581125
mean,sylva_prior,60,MAE,0.0811252907008268
mean,sylva_prior,60,MAE,0.0805462221070796
mean,fri_c4_1000_100,10,MAE,0.534991048988984
mean,fri_c4_1000_100,10,MAE,0.109438644970592
mean,fri_c4_1000_100,10,MAE,0.115533991594421
mean,fri_c4_1000_100,10,MAE,0.247611440533403
mean,fri_c4_1000_100,10,MAE,0.138375455590563
mean,fri_c4_1000_100,20,MAE,0.311271474483643
mean,fri_c4_1000_100,20,MAE,0.105391990325452
mean,fri_c4_1000_100,20,MAE,0.24492765847991
mean,fri_c4_1000_100,20,MAE,0.194044841844308
mean,fri_c4_1000_100,20,MAE,0.233568191149212
mean,fri_c4_1000_100,40,MAE,0.198151807918712
mean,fri_c4_1000_100,40,MAE,0.221526226099729
mean,fri_c4_1000_100,40,MAE,0.318169694676651
mean,fri_c4_1000_100,40,MAE,0.254111814248586
mean,fri_c4_1000_100,40,MAE,0.254385374554662
mean,fri_c4_1000_100,60,MAE,0.187080080529819
mean,fri_c4_1000_100,60,MAE,0.137059129715546
mean,fri_c4_1000_100,60,MAE,0.232220961195014
mean,fri_c4_1000_100,60,MAE,0.253614028544512
mean,fri_c4_1000_100,60,MAE,0.234538638618789
knn,sylva_prior,10,MAE,0.0762130474699853
knn,sylva_prior,10,MAE,0.0704960385126037
knn,sylva_prior,10,MAE,0.0727155493782883
knn,sylva_prior,10,MAE,0.0758250247644349
knn,sylva_prior,10,MAE,0.0761797283679232
knn,sylva_prior,20,MAE,0.0728861975572803
knn,sylva_prior,20,MAE,0.0724814647687524
knn,sylva_prior,20,MAE,0.0694098585343624
knn,sylva_prior,20,MAE,0.0750609363205437
knn,sylva_prior,20,MAE,0.0771174115763968
knn,sylva_prior,40,MAE,0.0773015827187666
knn,sylva_prior,40,MAE,0.0725484516542591
knn,sylva_prior,40,MAE,0.0741046429120069
knn,sylva_prior,40,MAE,0.0711950936396635
knn,sylva_prior,40,MAE,0.0747993207095072
knn,sylva_prior,60,MAE,0.0755130248213803
knn,sylva_prior,60,MAE,0.0752404708049541
knn,sylva_prior,60,MAE,0.0724198345671453
knn,sylva_prior,60,MAE,0.0732037322697214
knn,sylva_prior,60,MAE,0.0762534476316321
knn,fri_c4_1000_100,10,MAE,0.135691913791818
knn,fri_c4_1000_100,10,MAE,0.211086237561344
knn,fri_c4_1000_100,10,MAE,0.128206628396706
knn,fri_c4_1000_100,10,MAE,0.128306875881547
knn,fri_c4_1000_100,10,MAE,0.136040091651551
knn,fri_c4_1000_100,20,MAE,0.213541319894019
knn,fri_c4_1000_100,20,MAE,0.253905645880842
knn,fri_c4_1000_100,20,MAE,0.61515076776063
knn,fri_c4_1000_100,20,MAE,0.157668924676139
knn,fri_c4_1000_100,20,MAE,0.128871861986027
knn,fri_c4_1000_100,40,MAE,0.169825927292819
knn,fri_c4_1000_100,40,MAE,0.222798251561408
knn,fri_c4_1000_100,40,MAE,0.360556222864649
knn,fri_c4_1000_100,40,MAE,0.280959420788524
knn,fri_c4_1000_100,40,MAE,0.175167973552178
knn,fri_c4_1000_100,60,MAE,0.153251580097996
knn,fri_c4_1000_100,60,MAE,0.161851412701155
knn,fri_c4_1000_100,60,MAE,0.407337944082825
knn,fri_c4_1000_100,60,MAE,0.307668680863422
knn,fri_c4_1000_100,60,MAE,0.294131187016908
mice,sylva_prior,10,MAE,0.0851148452396787
mice,sylva_prior,10,MAE,0.0818887627833106
mice,sylva_prior,10,MAE,0.0815083141565953
mice,sylva_prior,10,MAE,0.0806816127415536
mice,sylva_prior,10,MAE,0.0835496780095526
mice,sylva_prior,20,MAE,0.080569557339817
mice,sylva_prior,20,MAE,0.0777089706491816
mice,sylva_prior,20,MAE,0.080582399396908
mice,sylva_prior,20,MAE,0.0815263278584673
mice,sylva_prior,20,MAE,0.0817648608519258
mice,sylva_prior,40,MAE,0.0784761005814078
mice,sylva_prior,40,MAE,0.0805696405014256
mice,sylva_prior,40,MAE,0.0790223074254801
mice,sylva_prior,40,MAE,0.0790449863624896
mice,sylva_prior,40,MAE,0.077869190006049
mice,sylva_prior,60,MAE,0.0795847188114471
mice,sylva_prior,60,MAE,0.0778670283122079
mice,sylva_prior,60,MAE,0.0767885008266805
mice,sylva_prior,60,MAE,0.0783981318497185
mice,sylva_prior,60,MAE,0.0769220407975661
mice,fri_c4_1000_100,10,MAE,0.10896360366506
mice,fri_c4_1000_100,10,MAE,0.1079090505134
mice,fri_c4_1000_100,10,MAE,0.13895747519729
mice,fri_c4_1000_100,10,MAE,0.411353393906361
mice,fri_c4_1000_100,10,MAE,0.232909170796164
mice,fri_c4_1000_100,20,MAE,0.112409094269032
mice,fri_c4_1000_100,20,MAE,0.10949155938857
mice,fri_c4_1000_100,20,MAE,0.183445552240715
mice,fri_c4_1000_100,20,MAE,0.324992070510209
mice,fri_c4_1000_100,20,MAE,0.191202808997075
mice,fri_c4_1000_100,40,MAE,0.128992276271771
mice,fri_c4_1000_100,40,MAE,0.124008224407998
mice,fri_c4_1000_100,40,MAE,0.279868304283098
