,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9526,0.9203,0.9527
1,wiscosin,20,0.949,0.9156,0.9473
2,wiscosin,40,0.9473,0.8919,0.9646
3,wiscosin,60,0.935,0.8543,0.9677
4,pima_diabetes,10,0.754,0.5524,0.688
5,pima_diabetes,20,0.7188,0.4554,0.6403
6,pima_diabetes,40,0.6993,0.4031,0.5974
7,pima_diabetes,60,0.672,0.4113,0.5279
8,bc_coimbra,10,0.7409,0.6891,0.7451
9,bc_coimbra,20,0.6978,0.6055,0.7207
10,bc_coimbra,40,0.579,0.3655,0.6984
11,bc_coimbra,60,0.604,0.4455,0.7058
12,indian_liver,10,0.6995,0.836,0.7675
13,indian_liver,20,0.6875,0.8504,0.7493
14,indian_liver,40,0.6857,0.8915,0.7301
15,indian_liver,60,0.6961,0.9422,0.7201
16,parkinsons,10,0.7692,0.8977,0.8263
17,parkinsons,20,0.8154,0.9251,0.8617
18,parkinsons,40,0.7795,0.9662,0.7923
19,parkinsons,60,0.7692,0.9657,0.7817
20,mammographic_masses,10,0.8012,0.851,0.767
21,mammographic_masses,20,0.7831,0.8585,0.7389
22,mammographic_masses,40,0.7964,0.8784,0.7485
23,mammographic_masses,60,0.7735,0.8187,0.7466
24,hcv_egyptian,10,0.2462,0.2462,0.2462
25,hcv_egyptian,20,0.2448,0.2448,0.2448
26,hcv_egyptian,40,0.2419,0.2419,0.2419
27,hcv_egyptian,60,0.2354,0.2354,0.2354
28,thoracic_surgey,10,0.8426,0.0,0.0
29,thoracic_surgey,20,0.8447,0.0,0.0
30,thoracic_surgey,40,0.8447,0.0,0.0
31,thoracic_surgey,60,0.8362,0.0143,0.0286
