,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9526,0.9203,0.9527
1,wiscosin,20,0.949,0.9156,0.9473
2,wiscosin,40,0.9473,0.8919,0.9646
3,wiscosin,60,0.935,0.8543,0.9677
4,pima_diabetes,10,0.7553,0.5562,0.6895
5,pima_diabetes,20,0.7188,0.4554,0.6403
6,pima_diabetes,40,0.698,0.4031,0.5953
7,pima_diabetes,60,0.6707,0.4075,0.5265
8,bc_coimbra,10,0.7409,0.6891,0.7451
9,bc_coimbra,20,0.6978,0.5873,0.734
10,bc_coimbra,40,0.5873,0.4036,0.71
11,bc_coimbra,60,0.5953,0.4255,0.5058
12,indian_liver,10,0.6995,0.836,0.7675
13,indian_liver,20,0.6857,0.8504,0.7474
14,indian_liver,40,0.6857,0.8915,0.7301
15,indian_liver,60,0.6943,0.9422,0.7185
16,parkinsons,10,0.7744,0.9046,0.8276
17,parkinsons,20,0.8103,0.9182,0.8603
18,parkinsons,40,0.7744,0.9662,0.7877
19,parkinsons,60,0.7692,0.9657,0.7817
20,mammographic_masses,10,0.8012,0.851,0.767
21,mammographic_masses,20,0.7819,0.856,0.7384
22,mammographic_masses,40,0.7964,0.8784,0.7485
23,mammographic_masses,60,0.747,0.8312,0.7087
24,hcv_egyptian,10,0.2397,0.2397,0.2397
25,hcv_egyptian,20,0.2419,0.2419,0.2419
26,hcv_egyptian,40,0.2448,0.2448,0.2448
27,hcv_egyptian,60,0.2368,0.2368,0.2368
28,thoracic_surgey,10,0.8426,0.0,0.0
29,thoracic_surgey,20,0.8426,0.0,0.0
30,thoracic_surgey,40,0.8468,0.0,0.0
31,thoracic_surgey,60,0.8362,0.0143,0.0333
