,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9561,0.925,0.9574
1,wiscosin,20,0.9473,0.9059,0.9522
2,wiscosin,40,0.9297,0.8403,0.9676
3,wiscosin,60,0.9245,0.8635,0.934
4,pima_diabetes,10,0.7709,0.5637,0.7248
5,pima_diabetes,20,0.7605,0.5078,0.7249
6,pima_diabetes,40,0.7358,0.4968,0.6676
7,pima_diabetes,60,0.7019,0.4484,0.6061
8,bc_coimbra,10,0.6902,0.5745,0.7267
9,bc_coimbra,20,0.6717,0.5182,0.7624
10,bc_coimbra,40,0.6808,0.5909,0.6679
11,bc_coimbra,60,0.5525,0.38,0.5371
12,indian_liver,10,0.6875,0.8457,0.7491
13,indian_liver,20,0.722,0.8769,0.7674
14,indian_liver,40,0.6788,0.8867,0.7277
15,indian_liver,60,0.7064,0.9011,0.744
16,parkinsons,10,0.7897,0.8979,0.8491
17,parkinsons,20,0.7949,0.9115,0.8446
18,parkinsons,40,0.7795,0.891,0.8319
19,parkinsons,60,0.8154,0.9053,0.877
20,mammographic_masses,10,0.7952,0.8435,0.7611
21,mammographic_masses,20,0.8,0.8609,0.7597
22,mammographic_masses,40,0.7578,0.8041,0.725
23,mammographic_masses,60,0.7651,0.841,0.7247
24,hcv_egyptian,10,0.2614,0.2614,0.2614
25,hcv_egyptian,20,0.2542,0.2542,0.2542
26,hcv_egyptian,40,0.2635,0.2635,0.2635
27,hcv_egyptian,60,0.2498,0.2498,0.2498
28,thoracic_surgey,10,0.8511,0.0143,0.2
29,thoracic_surgey,20,0.8468,0.0429,0.2
30,thoracic_surgey,40,0.8149,0.0286,0.0267
31,thoracic_surgey,60,0.8234,0.0857,0.1567
