,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9578,0.9297,0.9578
1,wiscosin,20,0.9578,0.9392,0.9498
2,wiscosin,40,0.9526,0.9343,0.9391
3,wiscosin,60,0.9561,0.9391,0.9446
4,pima_diabetes,10,0.767,0.5449,0.723
5,pima_diabetes,20,0.767,0.545,0.7239
6,pima_diabetes,40,0.7488,0.5225,0.6865
7,pima_diabetes,60,0.7292,0.4894,0.6499
8,bc_coimbra,10,0.6899,0.5964,0.76
9,bc_coimbra,20,0.6808,0.5582,0.7767
10,bc_coimbra,40,0.6815,0.5982,0.7027
11,bc_coimbra,60,0.6993,0.5036,0.7758
12,indian_liver,10,0.7099,0.8722,0.7596
13,indian_liver,20,0.7185,0.9011,0.7553
14,indian_liver,40,0.6961,0.9253,0.7254
15,indian_liver,60,0.6944,0.8892,0.7386
16,parkinsons,10,0.7744,0.9113,0.8237
17,parkinsons,20,0.8051,0.9524,0.8272
18,parkinsons,40,0.8,0.9455,0.8279
19,parkinsons,60,0.7795,0.9182,0.824
20,mammographic_masses,10,0.8096,0.8535,0.7779
21,mammographic_masses,20,0.8096,0.8534,0.7785
22,mammographic_masses,40,0.8133,0.8684,0.7748
23,mammographic_masses,60,0.7928,0.8485,0.7563
24,hcv_egyptian,10,0.2462,0.2462,0.2462
25,hcv_egyptian,20,0.2534,0.2534,0.2534
26,hcv_egyptian,40,0.2534,0.2534,0.2534
27,hcv_egyptian,60,0.2498,0.2498,0.2498
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8532,0.0143,0.2
30,thoracic_surgey,40,0.8489,0.0,0.0
31,thoracic_surgey,60,0.8511,0.0,0.0
