,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9614,0.9344,0.9625
1,wiscosin,20,0.9614,0.9297,0.9661
2,wiscosin,40,0.9631,0.9297,0.9713
3,wiscosin,60,0.9596,0.9249,0.966
4,pima_diabetes,10,0.7722,0.5749,0.7213
5,pima_diabetes,20,0.7735,0.5525,0.7339
6,pima_diabetes,40,0.7604,0.5145,0.7202
7,pima_diabetes,60,0.7657,0.541,0.7266
8,bc_coimbra,10,0.6819,0.5782,0.7264
9,bc_coimbra,20,0.6638,0.5382,0.681
10,bc_coimbra,40,0.6638,0.4964,0.6701
11,bc_coimbra,60,0.629,0.5327,0.6492
12,indian_liver,10,0.7013,0.8891,0.7439
13,indian_liver,20,0.6875,0.8698,0.7402
14,indian_liver,40,0.6978,0.889,0.7416
15,indian_liver,60,0.6823,0.8626,0.741
16,parkinsons,10,0.7949,0.9389,0.8259
17,parkinsons,20,0.8103,0.9593,0.8265
18,parkinsons,40,0.7897,0.9248,0.8265
19,parkinsons,60,0.7744,0.8848,0.8386
20,mammographic_masses,10,0.8036,0.846,0.7738
21,mammographic_masses,20,0.8048,0.8435,0.7753
22,mammographic_masses,40,0.7952,0.836,0.7647
23,mammographic_masses,60,0.7783,0.8313,0.7439
24,hcv_egyptian,10,0.2383,0.2383,0.2383
25,hcv_egyptian,20,0.2332,0.2332,0.2332
26,hcv_egyptian,40,0.252,0.252,0.252
27,hcv_egyptian,60,0.2563,0.2563,0.2563
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8468,0.0,0.0
30,thoracic_surgey,40,0.8489,0.0,0.0
31,thoracic_surgey,60,0.8489,0.0,0.0
