,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9578,0.9344,0.9529
1,wiscosin,20,0.949,0.9204,0.9453
2,wiscosin,40,0.9263,0.8303,0.9669
3,wiscosin,60,0.9367,0.8638,0.9637
4,pima_diabetes,10,0.7696,0.5822,0.7097
5,pima_diabetes,20,0.7578,0.5449,0.695
6,pima_diabetes,40,0.7005,0.4443,0.6016
7,pima_diabetes,60,0.6992,0.5258,0.5802
8,bc_coimbra,10,0.6732,0.5182,0.732
9,bc_coimbra,20,0.7065,0.5909,0.7452
10,bc_coimbra,40,0.6725,0.4636,0.7095
11,bc_coimbra,60,0.6199,0.3273,0.7467
12,indian_liver,10,0.7099,0.8578,0.7672
13,indian_liver,20,0.6875,0.8723,0.7392
14,indian_liver,40,0.6651,0.8337,0.7316
15,indian_liver,60,0.7099,0.9179,0.7402
16,parkinsons,10,0.7846,0.9048,0.839
17,parkinsons,20,0.8051,0.9182,0.8491
18,parkinsons,40,0.8103,0.8777,0.8803
19,parkinsons,60,0.8103,0.8775,0.882
20,mammographic_masses,10,0.7928,0.846,0.757
21,mammographic_masses,20,0.8024,0.8659,0.7609
22,mammographic_masses,40,0.7699,0.8114,0.7409
23,mammographic_masses,60,0.759,0.8334,0.7308
24,hcv_egyptian,10,0.2599,0.2599,0.2599
25,hcv_egyptian,20,0.252,0.252,0.252
26,hcv_egyptian,40,0.2505,0.2505,0.2505
27,hcv_egyptian,60,0.2498,0.2498,0.2498
28,thoracic_surgey,10,0.8426,0.0143,0.0667
29,thoracic_surgey,20,0.8532,0.0429,0.12
30,thoracic_surgey,40,0.8191,0.0429,0.0944
31,thoracic_surgey,60,0.8362,0.0286,0.1
