,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9526,0.9155,0.9562
1,wiscosin,20,0.935,0.9011,0.9252
2,wiscosin,40,0.8911,0.8401,0.8672
3,wiscosin,60,0.877,0.7879,0.874
4,pima_diabetes,10,0.7565,0.5186,0.7102
5,pima_diabetes,20,0.7357,0.444,0.6975
6,pima_diabetes,40,0.7435,0.437,0.7281
7,pima_diabetes,60,0.6927,0.2836,0.631
8,bc_coimbra,10,0.6638,0.5382,0.6864
9,bc_coimbra,20,0.5873,0.4455,0.5724
10,bc_coimbra,40,0.6645,0.5509,0.6591
11,bc_coimbra,60,0.579,0.4436,0.5926
12,indian_liver,10,0.6996,0.8891,0.7417
13,indian_liver,20,0.6944,0.8939,0.7351
14,indian_liver,40,0.7065,0.9229,0.7348
15,indian_liver,60,0.7081,0.9301,0.734
16,parkinsons,10,0.8103,0.9595,0.8267
17,parkinsons,20,0.8051,0.9662,0.818
18,parkinsons,40,0.7795,0.9253,0.8171
19,parkinsons,60,0.8051,0.9798,0.8088
20,mammographic_masses,10,0.7819,0.8189,0.7535
21,mammographic_masses,20,0.7711,0.8087,0.7473
22,mammographic_masses,40,0.7398,0.7045,0.7464
23,mammographic_masses,60,0.6795,0.8042,0.6375
24,hcv_egyptian,10,0.2282,0.2282,0.2282
25,hcv_egyptian,20,0.2643,0.2643,0.2643
26,hcv_egyptian,40,0.2513,0.2513,0.2513
27,hcv_egyptian,60,0.2375,0.2375,0.2375
28,thoracic_surgey,10,0.8489,0.0,0.0
29,thoracic_surgey,20,0.8489,0.0286,0.08
30,thoracic_surgey,40,0.8489,0.0,0.0
31,thoracic_surgey,60,0.8468,0.0,0.0
