,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9508,0.906,0.9622
1,wiscosin,20,0.9367,0.901,0.9289
2,wiscosin,40,0.905,0.7875,0.9509
3,wiscosin,60,0.9034,0.8113,0.9192
4,pima_diabetes,10,0.75,0.5077,0.6959
5,pima_diabetes,20,0.7214,0.4108,0.6649
6,pima_diabetes,40,0.6966,0.3688,0.6023
7,pima_diabetes,60,0.6941,0.3574,0.6404
8,bc_coimbra,10,0.7413,0.6327,0.8005
9,bc_coimbra,20,0.6641,0.5182,0.7219
10,bc_coimbra,40,0.7159,0.6,0.873
11,bc_coimbra,60,0.5692,0.3782,0.5333
12,indian_liver,10,0.703,0.8747,0.7523
13,indian_liver,20,0.6978,0.8697,0.7488
14,indian_liver,40,0.684,0.9277,0.7152
15,indian_liver,60,0.7029,0.9494,0.7226
16,parkinsons,10,0.7846,0.9255,0.8211
17,parkinsons,20,0.7897,0.9457,0.8139
18,parkinsons,40,0.7231,0.8506,0.8135
19,parkinsons,60,0.7385,0.8453,0.8336
20,mammographic_masses,10,0.7747,0.8484,0.7362
21,mammographic_masses,20,0.7855,0.8585,0.7412
22,mammographic_masses,40,0.7398,0.8332,0.7041
23,mammographic_masses,60,0.6916,0.6989,0.7085
24,hcv_egyptian,10,0.2274,0.2274,0.2274
25,hcv_egyptian,20,0.2462,0.2462,0.2462
26,hcv_egyptian,40,0.2686,0.2686,0.2686
27,hcv_egyptian,60,0.2599,0.2599,0.2599
28,thoracic_surgey,10,0.8489,0.0,0.0
29,thoracic_surgey,20,0.8426,0.0143,0.2
30,thoracic_surgey,40,0.8383,0.1,0.0778
31,thoracic_surgey,60,0.8383,0.0,0.0
