,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9455,0.9249,0.9319
1,wiscosin,20,0.9455,0.9203,0.9347
2,wiscosin,40,0.9227,0.8494,0.94
3,wiscosin,60,0.9016,0.7838,0.9429
4,pima_diabetes,10,0.7591,0.5522,0.6969
5,pima_diabetes,20,0.7162,0.478,0.6252
6,pima_diabetes,40,0.6797,0.4711,0.5561
7,pima_diabetes,60,0.6849,0.4484,0.5673
8,bc_coimbra,10,0.6554,0.4818,0.7456
9,bc_coimbra,20,0.6543,0.5745,0.6853
10,bc_coimbra,40,0.5859,0.4018,0.66
11,bc_coimbra,60,0.587,0.3527,0.7145
12,indian_liver,10,0.7271,0.8938,0.7662
13,indian_liver,20,0.7168,0.9132,0.7473
14,indian_liver,40,0.6909,0.9349,0.718
15,indian_liver,60,0.7064,0.9735,0.7173
16,parkinsons,10,0.7846,0.9389,0.8143
17,parkinsons,20,0.7385,0.9395,0.7679
18,parkinsons,40,0.7436,0.9733,0.7566
19,parkinsons,60,0.759,1.0,0.7578
20,mammographic_masses,10,0.8048,0.8609,0.768
21,mammographic_masses,20,0.7976,0.8585,0.7587
22,mammographic_masses,40,0.7735,0.8135,0.7458
23,mammographic_masses,60,0.7566,0.8261,0.7167
24,hcv_egyptian,10,0.244,0.244,0.244
25,hcv_egyptian,20,0.2383,0.2383,0.2383
26,hcv_egyptian,40,0.2549,0.2549,0.2549
27,hcv_egyptian,60,0.2426,0.2426,0.2426
28,thoracic_surgey,10,0.8468,0.0,0.0
29,thoracic_surgey,20,0.8404,0.0143,0.1
30,thoracic_surgey,40,0.8404,0.0286,0.1333
31,thoracic_surgey,60,0.8191,0.0143,0.2
