,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9508,0.9202,0.9476
1,wiscosin,20,0.9561,0.9248,0.9567
2,wiscosin,40,0.9403,0.8918,0.9462
3,wiscosin,60,0.9315,0.8684,0.9451
4,pima_diabetes,10,0.7579,0.5152,0.7144
5,pima_diabetes,20,0.7578,0.5078,0.7171
6,pima_diabetes,40,0.737,0.4556,0.686
7,pima_diabetes,60,0.7331,0.4072,0.7015
8,bc_coimbra,10,0.708,0.6345,0.7521
9,bc_coimbra,20,0.6547,0.5982,0.6876
10,bc_coimbra,40,0.5935,0.5982,0.5417
11,bc_coimbra,60,0.5435,0.4036,0.5314
12,indian_liver,10,0.7133,0.8867,0.7569
13,indian_liver,20,0.6978,0.8795,0.7469
14,indian_liver,40,0.696,0.9204,0.7283
15,indian_liver,60,0.6926,0.9229,0.7239
16,parkinsons,10,0.7692,0.9117,0.8175
17,parkinsons,20,0.7538,0.892,0.8147
18,parkinsons,40,0.7538,0.8926,0.808
19,parkinsons,60,0.759,0.9113,0.806
20,mammographic_masses,10,0.8048,0.8436,0.7754
21,mammographic_masses,20,0.7964,0.8285,0.7699
22,mammographic_masses,40,0.7928,0.8386,0.7608
23,mammographic_masses,60,0.7735,0.8062,0.7467
24,hcv_egyptian,10,0.2325,0.2325,0.2325
25,hcv_egyptian,20,0.257,0.257,0.257
26,hcv_egyptian,40,0.2325,0.2325,0.2325
27,hcv_egyptian,60,0.2397,0.2397,0.2397
28,thoracic_surgey,10,0.8468,0.0,0.0
29,thoracic_surgey,20,0.8468,0.0,0.0
30,thoracic_surgey,40,0.8468,0.0,0.0
31,thoracic_surgey,60,0.8362,0.0,0.0
