,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.6046,0.099,0.3714
1,wiscosin,20,0.6064,0.0753,0.3569
2,wiscosin,40,0.6205,0.0897,0.5142
3,wiscosin,60,0.5694,0.0614,0.2246
4,pima_diabetes,10,0.6445,0.0297,0.3971
5,pima_diabetes,20,0.6367,0.0336,0.2144
6,pima_diabetes,40,0.6316,0.0486,0.3475
7,pima_diabetes,60,0.6524,0.0601,0.5682
8,bc_coimbra,10,0.4913,0.3273,0.4704
9,bc_coimbra,20,0.5004,0.3109,0.4167
10,bc_coimbra,40,0.5083,0.3891,0.4533
11,bc_coimbra,60,0.5178,0.4655,0.4606
12,indian_liver,10,0.6977,0.971,0.7115
13,indian_liver,20,0.6994,0.9661,0.7142
14,indian_liver,40,0.6909,0.9566,0.7108
15,indian_liver,60,0.703,0.9783,0.713
16,parkinsons,10,0.759,0.9864,0.7633
17,parkinsons,20,0.7436,0.9729,0.7568
18,parkinsons,40,0.7487,0.9655,0.7633
19,parkinsons,60,0.7385,0.9455,0.7639
20,mammographic_masses,10,0.5229,0.419,0.5112
21,mammographic_masses,20,0.5072,0.3895,0.4936
22,mammographic_masses,40,0.5012,0.3948,0.4841
23,mammographic_masses,60,0.4795,0.3924,0.4569
24,hcv_egyptian,10,0.2498,0.2498,0.2498
25,hcv_egyptian,20,0.2477,0.2477,0.2477
26,hcv_egyptian,40,0.252,0.252,0.252
27,hcv_egyptian,60,0.2282,0.2282,0.2282
28,thoracic_surgey,10,0.8447,0.0286,0.24
29,thoracic_surgey,20,0.8468,0.0,0.0
30,thoracic_surgey,40,0.8489,0.0,0.0
31,thoracic_surgey,60,0.8511,0.0,0.0
