,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9403,0.9155,0.926
1,wiscosin,20,0.935,0.9061,0.9231
2,wiscosin,40,0.9368,0.8873,0.9428
3,wiscosin,60,0.3971,0.9343,0.3759
4,pima_diabetes,10,0.7357,0.5115,0.6547
5,pima_diabetes,20,0.7305,0.4964,0.6539
6,pima_diabetes,40,0.6979,0.4892,0.5836
7,pima_diabetes,60,0.6499,0.5075,0.5373
8,bc_coimbra,10,0.6457,0.4982,0.7234
9,bc_coimbra,20,0.6029,0.5127,0.6635
10,bc_coimbra,40,0.5007,0.1345,0.5738
11,bc_coimbra,60,0.5518,0.1927,0.585
12,indian_liver,10,0.7116,0.8818,0.7552
13,indian_liver,20,0.6978,0.9252,0.7268
14,indian_liver,40,0.6874,0.9421,0.7124
15,indian_liver,60,0.6736,0.9349,0.7035
16,parkinsons,10,0.7641,0.9462,0.7871
17,parkinsons,20,0.7487,0.9533,0.7706
18,parkinsons,40,0.7538,1.0,0.7538
19,parkinsons,60,0.759,1.0,0.7578
20,mammographic_masses,10,0.7928,0.836,0.7622
21,mammographic_masses,20,0.7819,0.8385,0.7448
22,mammographic_masses,40,0.7819,0.856,0.7374
23,mammographic_masses,60,0.7145,0.685,0.7187
24,hcv_egyptian,10,0.2195,0.2195,0.2195
25,hcv_egyptian,20,0.2188,0.2188,0.2188
26,hcv_egyptian,40,0.2621,0.2621,0.2621
27,hcv_egyptian,60,0.2375,0.2375,0.2375
28,thoracic_surgey,10,0.8511,0.0143,0.2
29,thoracic_surgey,20,0.8426,0.0,0.0
30,thoracic_surgey,40,0.8362,0.0286,0.1222
31,thoracic_surgey,60,0.7723,0.0429,0.0496
