,Model,Dataset,Missing Rate (%),Métrica,Teste
0,lpr1,wiscosin,10,MAE,0.10907954883204418
1,lpr1,wiscosin,10,MAE,0.10480343655086667
2,lpr1,wiscosin,10,MAE,0.10082135143626483
3,lpr1,wiscosin,10,MAE,0.07593738003090748
4,lpr1,wiscosin,10,MAE,0.09035806498725953
5,lpr1,wiscosin,20,MAE,0.10643367910386141
6,lpr1,wiscosin,20,MAE,0.09934887328681105
7,lpr1,wiscosin,20,MAE,0.09803506955912143
8,lpr1,wiscosin,20,MAE,0.08551521020947321
9,lpr1,wiscosin,20,MAE,0.0737733745884128
10,lpr1,wiscosin,40,MAE,0.09238378167764946
11,lpr1,wiscosin,40,MAE,0.07901558687643356
12,lpr1,wiscosin,40,MAE,0.08815769305552118
13,lpr1,wiscosin,40,MAE,0.07803177177064684
14,lpr1,wiscosin,40,MAE,0.0691811986684372
15,lpr1,wiscosin,60,MAE,0.09084035713846071
16,lpr1,wiscosin,60,MAE,0.08202628257696952
17,lpr1,wiscosin,60,MAE,0.09067898788311367
18,lpr1,wiscosin,60,MAE,0.08419641203037569
19,lpr1,wiscosin,60,MAE,0.09545214896373516
20,lpr1,pima_diabetes,10,MAE,0.09740764318302703
21,lpr1,pima_diabetes,10,MAE,0.08823616799192636
22,lpr1,pima_diabetes,10,MAE,0.10607582393259798
23,lpr1,pima_diabetes,10,MAE,0.13188042139478612
24,lpr1,pima_diabetes,10,MAE,0.11513121872288389
25,lpr1,pima_diabetes,20,MAE,0.13168911887995607
26,lpr1,pima_diabetes,20,MAE,0.1139430217929532
27,lpr1,pima_diabetes,20,MAE,0.12537149262600367
28,lpr1,pima_diabetes,20,MAE,0.11162021191970756
29,lpr1,pima_diabetes,20,MAE,0.10396436377390916
30,lpr1,pima_diabetes,40,MAE,0.10833400845131462
31,lpr1,pima_diabetes,40,MAE,0.11565819851505893
32,lpr1,pima_diabetes,40,MAE,0.11910400450893101
33,lpr1,pima_diabetes,40,MAE,0.14531369003673317
34,lpr1,pima_diabetes,40,MAE,0.11400283195067429
35,lpr1,pima_diabetes,60,MAE,0.11698960147414648
36,lpr1,pima_diabetes,60,MAE,0.11559478390325324
