,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
0,wiscosin,10,0.0474 ± 0.006,0.023 ± 0.0033,0.1262 ± 0.0149,0.1156 ± 0.0241,0.1123 ± 0.012,0.0917 ± 0.0133,0.0922 ± 0.015,0.1051 ± 0.0137,0.0885 ± 0.0164
1,wiscosin,20,0.0448 ± 0.0078,0.0226 ± 0.0027,0.104 ± 0.0104,0.0945 ± 0.0192,0.0983 ± 0.0107,0.0897 ± 0.0117,0.0796 ± 0.0075,0.0889 ± 0.0072,0.0818 ± 0.0116
2,wiscosin,40,0.047 ± 0.0033,0.0352 ± 0.0043,0.1037 ± 0.0116,0.1127 ± 0.0187,0.097 ± 0.0085,0.081 ± 0.0105,0.0856 ± 0.0108,0.0791 ± 0.0084,0.0844 ± 0.0081
3,wiscosin,60,0.0524 ± 0.0041,0.0469 ± 0.0271,0.1116 ± 0.0077,0.1153 ± 0.0112,0.1108 ± 0.0088,0.0907 ± 0.0096,0.0962 ± 0.0053,0.086 ± 0.0093,0.0864 ± 0.0087
4,pima_diabetes,10,0.1039 ± 0.0114,0.0944 ± 0.0129,0.1333 ± 0.0175,0.1332 ± 0.0287,0.1448 ± 0.0167,0.1155 ± 0.0107,0.1107 ± 0.016,0.1125 ± 0.013,0.1134 ± 0.0094
5,pima_diabetes,20,0.1024 ± 0.0137,0.095 ± 0.005,0.126 ± 0.0199,0.1203 ± 0.0115,0.1123 ± 0.0171,0.1189 ± 0.015,0.1204 ± 0.0233,0.1143 ± 0.0131,0.1043 ± 0.0189
6,pima_diabetes,40,0.1008 ± 0.0093,0.1053 ± 0.0094,0.1281 ± 0.0092,0.1285 ± 0.034,0.127 ± 0.0065,0.1252 ± 0.0142,0.1137 ± 0.0131,0.1198 ± 0.0126,0.1069 ± 0.0072
7,pima_diabetes,60,0.1226 ± 0.0106,0.1362 ± 0.0157,0.1295 ± 0.0061,0.1446 ± 0.0186,0.1333 ± 0.0187,0.1279 ± 0.0172,0.1195 ± 0.0116,0.1222 ± 0.0086,0.12 ± 0.0149
8,bc_coimbra,10,0.1578 ± 0.0606,0.1123 ± 0.0311,0.1906 ± 0.0467,0.1706 ± 0.0749,0.1674 ± 0.0624,0.1271 ± 0.0331,0.1818 ± 0.0762,0.1517 ± 0.0431,0.1178 ± 0.0183
9,bc_coimbra,20,0.1916 ± 0.0389,0.1344 ± 0.0425,0.1976 ± 0.0304,0.2078 ± 0.1044,0.1706 ± 0.0546,0.1329 ± 0.0302,0.1561 ± 0.0635,0.1617 ± 0.0479,0.1812 ± 0.0658
10,bc_coimbra,40,0.1593 ± 0.0431,0.1778 ± 0.059,0.1832 ± 0.0565,0.1403 ± 0.027,0.1621 ± 0.0321,0.1661 ± 0.0573,0.1673 ± 0.0374,0.168 ± 0.0545,0.132 ± 0.0159
11,bc_coimbra,60,0.1543 ± 0.0206,0.1753 ± 0.0858,0.1834 ± 0.0264,0.183 ± 0.0633,0.1604 ± 0.0241,0.1548 ± 0.0342,0.1501 ± 0.0621,0.16 ± 0.0499,0.1596 ± 0.0393
12,indian_liver,10,0.1081 ± 0.044,0.0928 ± 0.0375,0.1071 ± 0.027,0.1067 ± 0.0412,0.124 ± 0.0363,0.0941 ± 0.0236,0.1274 ± 0.0344,0.1209 ± 0.0329,0.0843 ± 0.0088
13,indian_liver,20,0.099 ± 0.0426,0.116 ± 0.0201,0.1082 ± 0.0247,0.1532 ± 0.0682,0.1324 ± 0.0442,0.1009 ± 0.0321,0.1318 ± 0.0309,0.097 ± 0.0337,0.117 ± 0.0343
14,indian_liver,40,0.0914 ± 0.0389,0.0779 ± 0.0315,0.1017 ± 0.0253,0.1032 ± 0.038,0.1205 ± 0.04,0.0833 ± 0.0222,0.1257 ± 0.022,0.1028 ± 0.024,0.0847 ± 0.0216
15,indian_liver,60,0.0869 ± 0.0312,0.0923 ± 0.0254,0.1001 ± 0.0333,0.1186 ± 0.0324,0.112 ± 0.037,0.1155 ± 0.0239,0.1136 ± 0.0361,0.1 ± 0.0317,0.1059 ± 0.0255
16,parkinsons,10,0.0897 ± 0.0189,0.0557 ± 0.0124,0.1796 ± 0.0346,0.2049 ± 0.1003,0.165 ± 0.0218,0.105 ± 0.0169,0.1143 ± 0.0332,0.11 ± 0.0257,0.1085 ± 0.0228
17,parkinsons,20,0.081 ± 0.0136,0.0548 ± 0.0171,0.152 ± 0.025,0.153 ± 0.0568,0.1423 ± 0.024,0.1062 ± 0.0083,0.1072 ± 0.0096,0.1008 ± 0.023,0.1067 ± 0.0179
18,parkinsons,40,0.0781 ± 0.012,0.1574 ± 0.1556,0.1451 ± 0.014,0.1633 ± 0.0301,0.1289 ± 0.0041,0.1206 ± 0.016,0.1047 ± 0.0191,0.1122 ± 0.018,0.1129 ± 0.0191
19,parkinsons,60,0.0959 ± 0.0247,0.1434 ± 0.0566,0.162 ± 0.0251,0.1652 ± 0.0402,0.1567 ± 0.0265,0.1268 ± 0.0229,0.1278 ± 0.0322,0.1368 ± 0.0182,0.1356 ± 0.0335
20,mammographic_masses,10,0.1126 ± 0.0383,0.0792 ± 0.0534,0.2522 ± 0.1121,0.2393 ± 0.0634,0.2751 ± 0.0719,0.1961 ± 0.036,0.2122 ± 0.0365,0.2367 ± 0.0227,0.2059 ± 0.085
21,mammographic_masses,20,0.1711 ± 0.0381,0.0797 ± 0.03,0.2309 ± 0.0836,0.2573 ± 0.0541,0.2845 ± 0.0907,0.2245 ± 0.0553,0.1966 ± 0.0161,0.2364 ± 0.0435,0.2019 ± 0.0422
22,mammographic_masses,40,0.141 ± 0.0143,0.0892 ± 0.0306,0.1902 ± 0.044,0.2227 ± 0.0281,0.2672 ± 0.0799,0.1896 ± 0.0341,0.2291 ± 0.0274,0.207 ± 0.0393,0.1982 ± 0.0406
23,mammographic_masses,60,0.1726 ± 0.058,0.1568 ± 0.0183,0.2252 ± 0.0467,0.2105 ± 0.0214,0.2975 ± 0.0251,0.2047 ± 0.04,0.2246 ± 0.0351,0.1898 ± 0.0239,0.2114 ± 0.0371
24,hcv_egyptian,10,0.3112 ± 0.0277,0.3084 ± 0.0229,0.3191 ± 0.0116,0.3342 ± 0.0242,0.3249 ± 0.0485,0.2972 ± 0.022,0.3186 ± 0.027,0.3263 ± 0.0238,0.3186 ± 0.0278
25,hcv_egyptian,20,0.3015 ± 0.0211,0.2807 ± 0.0199,0.328 ± 0.0234,0.3358 ± 0.0156,0.3101 ± 0.0197,0.3222 ± 0.0167,0.3382 ± 0.0214,0.2944 ± 0.0315,0.3247 ± 0.0248
26,hcv_egyptian,40,0.337 ± 0.0252,0.3172 ± 0.0226,0.3109 ± 0.0286,0.3127 ± 0.0395,0.324 ± 0.0171,0.3406 ± 0.0159,0.3343 ± 0.0272,0.3279 ± 0.027,0.3059 ± 0.0126
