,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
0,wiscosin,10,0.0449 ± 0.0068,0.0215 ± 0.0037,0.1165 ± 0.0117,0.1054 ± 0.0104,0.1165 ± 0.0289,0.097 ± 0.018,0.0871 ± 0.0112,0.0925 ± 0.0122,0.1001 ± 0.0136
1,wiscosin,20,0.0404 ± 0.0036,0.0223 ± 0.0033,0.1161 ± 0.0165,0.1068 ± 0.0364,0.105 ± 0.0148,0.0832 ± 0.0128,0.0905 ± 0.0162,0.0833 ± 0.0109,0.0894 ± 0.0113
2,wiscosin,40,0.0452 ± 0.0058,0.0337 ± 0.0047,0.1041 ± 0.009,0.1126 ± 0.0215,0.1111 ± 0.0106,0.082 ± 0.0067,0.0827 ± 0.0063,0.0828 ± 0.0073,0.0822 ± 0.0108
3,wiscosin,60,0.0549 ± 0.0131,0.0411 ± 0.0117,0.1175 ± 0.0119,0.1281 ± 0.0092,0.111 ± 0.0107,0.0879 ± 0.0135,0.0917 ± 0.0022,0.0885 ± 0.0159,0.0877 ± 0.0104
4,pima_diabetes,10,0.0847 ± 0.0265,0.0996 ± 0.0201,0.1306 ± 0.0083,0.1238 ± 0.0247,0.1312 ± 0.0106,0.1228 ± 0.018,0.11 ± 0.0305,0.1125 ± 0.0186,0.1003 ± 0.0176
5,pima_diabetes,20,0.1022 ± 0.0061,0.096 ± 0.0129,0.1277 ± 0.0037,0.1117 ± 0.0243,0.1204 ± 0.0083,0.1085 ± 0.02,0.1101 ± 0.0139,0.1002 ± 0.017,0.1049 ± 0.0117
6,pima_diabetes,40,0.107 ± 0.0092,0.108 ± 0.0168,0.1267 ± 0.0183,0.1399 ± 0.0263,0.1218 ± 0.0085,0.1128 ± 0.0101,0.1117 ± 0.0073,0.115 ± 0.0205,0.1128 ± 0.0164
7,pima_diabetes,60,0.1093 ± 0.014,0.1442 ± 0.0254,0.1276 ± 0.0167,0.139 ± 0.0065,0.1228 ± 0.0087,0.1205 ± 0.0084,0.1181 ± 0.0084,0.1226 ± 0.0099,0.1198 ± 0.0164
8,bc_coimbra,10,0.1482 ± 0.0493,0.1329 ± 0.0435,0.1936 ± 0.0353,0.2051 ± 0.0785,0.1844 ± 0.0493,0.1303 ± 0.0339,0.1739 ± 0.0284,0.1623 ± 0.0521,0.1816 ± 0.0318
9,bc_coimbra,20,0.164 ± 0.0384,0.1425 ± 0.0376,0.2178 ± 0.0644,0.2054 ± 0.0916,0.1714 ± 0.0288,0.1631 ± 0.06,0.163 ± 0.0788,0.1879 ± 0.0593,0.1327 ± 0.0576
10,bc_coimbra,40,0.1467 ± 0.0549,0.136 ± 0.0291,0.1852 ± 0.0328,0.1798 ± 0.0324,0.1426 ± 0.0153,0.1296 ± 0.0403,0.1534 ± 0.0358,0.1499 ± 0.0356,0.1727 ± 0.0675
11,bc_coimbra,60,0.1588 ± 0.0407,0.1849 ± 0.0354,0.2012 ± 0.0694,0.1865 ± 0.075,0.161 ± 0.0406,0.1814 ± 0.0517,0.1539 ± 0.0494,0.1291 ± 0.0318,0.1732 ± 0.0644
12,indian_liver,10,0.0541 ± 0.0239,0.0735 ± 0.046,0.1158 ± 0.0506,0.1231 ± 0.0531,0.1087 ± 0.0336,0.1158 ± 0.0474,0.104 ± 0.0237,0.1045 ± 0.0226,0.1023 ± 0.0246
13,indian_liver,20,0.0952 ± 0.0279,0.0597 ± 0.0341,0.1087 ± 0.0274,0.1054 ± 0.0141,0.1325 ± 0.0384,0.1175 ± 0.0197,0.105 ± 0.0229,0.1159 ± 0.0207,0.1184 ± 0.0281
14,indian_liver,40,0.1133 ± 0.0297,0.0786 ± 0.0276,0.0934 ± 0.0193,0.1048 ± 0.0296,0.121 ± 0.0372,0.0949 ± 0.0357,0.0987 ± 0.0169,0.0941 ± 0.0221,0.1081 ± 0.0337
15,indian_liver,60,0.1029 ± 0.0282,0.1104 ± 0.0283,0.1105 ± 0.0204,0.1047 ± 0.0265,0.1206 ± 0.0221,0.0931 ± 0.0278,0.0935 ± 0.0209,0.1122 ± 0.0338,0.1063 ± 0.0184
16,parkinsons,10,0.0617 ± 0.0243,0.061 ± 0.0218,0.1839 ± 0.0399,0.1812 ± 0.0562,0.1583 ± 0.0365,0.1132 ± 0.0232,0.1074 ± 0.022,0.1125 ± 0.0279,0.1071 ± 0.0289
17,parkinsons,20,0.071 ± 0.0072,0.0764 ± 0.0278,0.1663 ± 0.0239,0.1814 ± 0.1121,0.1437 ± 0.0176,0.1039 ± 0.025,0.1109 ± 0.0174,0.1181 ± 0.0214,0.1156 ± 0.0152
18,parkinsons,40,0.0863 ± 0.016,0.1139 ± 0.0095,0.1475 ± 0.0113,0.1708 ± 0.0311,0.1318 ± 0.0115,0.1152 ± 0.0213,0.1208 ± 0.0249,0.1092 ± 0.0066,0.1174 ± 0.0118
19,parkinsons,60,0.1062 ± 0.0198,0.1711 ± 0.0781,0.1541 ± 0.0311,0.183 ± 0.041,0.1545 ± 0.0304,0.1306 ± 0.0295,0.1263 ± 0.0308,0.1332 ± 0.0247,0.1215 ± 0.0211
20,mammographic_masses,10,0.0802 ± 0.0162,0.0598 ± 0.0402,0.2251 ± 0.0643,0.2516 ± 0.0561,0.3156 ± 0.0548,0.1966 ± 0.0416,0.2204 ± 0.0549,0.227 ± 0.0358,0.2097 ± 0.0267
21,mammographic_masses,20,0.1253 ± 0.0199,0.0951 ± 0.0368,0.2159 ± 0.0311,0.2354 ± 0.0739,0.2983 ± 0.0512,0.2115 ± 0.045,0.2199 ± 0.0287,0.2149 ± 0.0326,0.2016 ± 0.0277
22,mammographic_masses,40,0.1509 ± 0.0319,0.1421 ± 0.0433,0.2501 ± 0.0517,0.2243 ± 0.0559,0.3134 ± 0.0537,0.2 ± 0.0251,0.2022 ± 0.0269,0.2167 ± 0.0418,0.2154 ± 0.009
23,mammographic_masses,60,0.1745 ± 0.0336,0.1523 ± 0.0445,0.2001 ± 0.0493,0.2182 ± 0.0189,0.2847 ± 0.0306,0.2113 ± 0.0217,0.1977 ± 0.0353,0.2287 ± 0.0231,0.1984 ± 0.0408
24,hcv_egyptian,10,0.3426 ± 0.0447,0.3101 ± 0.0289,0.3316 ± 0.0322,0.3206 ± 0.037,0.329 ± 0.0359,0.2934 ± 0.0412,0.3226 ± 0.0269,0.2977 ± 0.0483,0.2966 ± 0.0164
25,hcv_egyptian,20,0.3144 ± 0.0181,0.3127 ± 0.046,0.2957 ± 0.0233,0.3643 ± 0.0162,0.3074 ± 0.0213,0.3163 ± 0.0355,0.3432 ± 0.0235,0.3385 ± 0.0141,0.3266 ± 0.0418
26,hcv_egyptian,40,0.323 ± 0.0239,0.3322 ± 0.0215,0.3292 ± 0.0198,0.3375 ± 0.031,0.3386 ± 0.0396,0.3283 ± 0.0122,0.3166 ± 0.0288,0.3207 ± 0.0261,0.3054 ± 0.0304
27,hcv_egyptian,60,0.3207 ± 0.0178,0.4846 ± 0.1338,0.3404 ± 0.0151,0.3406 ± 0.0095,0.2963 ± 0.008,0.3118 ± 0.0308,0.2963 ± 0.0192,0.3187 ± 0.0385,0.3252 ± 0.0135
28,thoracic_surgey,10,0.0998 ± 0.0199,0.0976 ± 0.028,0.1478 ± 0.0544,0.1464 ± 0.0904,0.1731 ± 0.0275,0.147 ± 0.0273,0.1462 ± 0.0174,0.1591 ± 0.0257,0.1637 ± 0.0303
29,thoracic_surgey,20,0.107 ± 0.0111,0.0915 ± 0.0149,0.1011 ± 0.026,0.1637 ± 0.0367,0.1802 ± 0.0361,0.1319 ± 0.0279,0.1596 ± 0.0233,0.1435 ± 0.0162,0.1477 ± 0.019
30,thoracic_surgey,40,0.1093 ± 0.0279,0.1229 ± 0.0238,0.0862 ± 0.015,0.1638 ± 0.0137,0.1478 ± 0.0298,0.1515 ± 0.0161,0.1139 ± 0.0134,0.151 ± 0.0284,0.134 ± 0.0279
31,thoracic_surgey,60,0.1219 ± 0.0254,0.1976 ± 0.0786,0.0941 ± 0.0174,0.138 ± 0.0289,0.1522 ± 0.027,0.1472 ± 0.0163,0.1388 ± 0.0178,0.1396 ± 0.0209,0.1334 ± 0.0173
