,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2,LPR3
0,wiscosin,10,0.0766 ± 0.0121,0.0494 ± 0.0095,0.1576 ± 0.0078,0.1465 ± 0.0159,0.1571 ± 0.006,0.1227 ± 0.0108,0.1192 ± 0.0079,0.1217 ± 0.0087,0.12 ± 0.0083
1,wiscosin,20,0.0827 ± 0.0077,0.0759 ± 0.0067,0.1557 ± 0.0061,0.1217 ± 0.0151,0.1548 ± 0.0096,0.1189 ± 0.0105,0.1158 ± 0.011,0.1172 ± 0.0088,0.1164 ± 0.0084
2,wiscosin,40,0.0924 ± 0.0076,0.0925 ± 0.0071,0.1544 ± 0.0059,0.1033 ± 0.0048,0.1532 ± 0.008,0.1156 ± 0.008,0.1158 ± 0.0076,0.1158 ± 0.0068,0.1157 ± 0.0075
3,wiscosin,60,0.1062 ± 0.008,0.1082 ± 0.0061,0.1583 ± 0.008,0.1026 ± 0.0107,0.1571 ± 0.0065,0.1178 ± 0.0069,0.118 ± 0.0069,0.1172 ± 0.0072,0.1165 ± 0.0081
4,pima_diabetes,10,0.1585 ± 0.0118,0.1646 ± 0.0144,0.1922 ± 0.0142,0.185 ± 0.0175,0.196 ± 0.0158,0.1761 ± 0.016,0.1772 ± 0.0203,0.1765 ± 0.0193,0.1785 ± 0.0216
5,pima_diabetes,20,0.1561 ± 0.013,0.152 ± 0.0139,0.1781 ± 0.0125,0.159 ± 0.0316,0.1794 ± 0.0107,0.1665 ± 0.0139,0.1673 ± 0.0132,0.1681 ± 0.021,0.1655 ± 0.015
6,pima_diabetes,40,0.1592 ± 0.008,0.1692 ± 0.0126,0.1778 ± 0.0095,0.1425 ± 0.0194,0.1747 ± 0.0113,0.1636 ± 0.0129,0.1641 ± 0.0121,0.1652 ± 0.0136,0.1665 ± 0.0155
7,pima_diabetes,60,0.1761 ± 0.0114,0.179 ± 0.009,0.1803 ± 0.0092,0.1366 ± 0.017,0.1807 ± 0.0089,0.1706 ± 0.0103,0.1695 ± 0.0109,0.1685 ± 0.0098,0.1694 ± 0.0115
8,bc_coimbra,10,0.1806 ± 0.0327,0.187 ± 0.0395,0.2317 ± 0.0284,0.1719 ± 0.0458,0.1931 ± 0.0379,0.1631 ± 0.0349,0.163 ± 0.029,0.172 ± 0.0281,0.1555 ± 0.0417
9,bc_coimbra,20,0.1853 ± 0.0234,0.178 ± 0.0341,0.219 ± 0.0362,0.1591 ± 0.0406,0.2039 ± 0.0224,0.1651 ± 0.0083,0.1753 ± 0.0081,0.1762 ± 0.0141,0.1694 ± 0.0239
10,bc_coimbra,40,0.1956 ± 0.0222,0.2375 ± 0.0407,0.2344 ± 0.0313,0.1581 ± 0.0362,0.1941 ± 0.0315,0.1891 ± 0.0233,0.1722 ± 0.006,0.1804 ± 0.0258,0.1914 ± 0.0363
11,bc_coimbra,60,0.1917 ± 0.0373,0.238 ± 0.0475,0.2334 ± 0.0375,0.1561 ± 0.03,0.2122 ± 0.0394,0.2069 ± 0.0397,0.1928 ± 0.03,0.2036 ± 0.0385,0.1882 ± 0.0397
12,indian_liver,10,0.1478 ± 0.0112,0.1411 ± 0.0061,0.1874 ± 0.0149,0.1768 ± 0.0103,0.1836 ± 0.0108,0.1813 ± 0.0146,0.1783 ± 0.0085,0.1877 ± 0.0142,0.1813 ± 0.0161
13,indian_liver,20,0.1604 ± 0.0046,0.1444 ± 0.0099,0.1745 ± 0.0115,0.1799 ± 0.0639,0.1739 ± 0.0061,0.1768 ± 0.0086,0.1771 ± 0.0179,0.1749 ± 0.0067,0.1674 ± 0.0067
14,indian_liver,40,0.169 ± 0.0145,0.1634 ± 0.0119,0.1743 ± 0.0054,0.143 ± 0.0085,0.1709 ± 0.0082,0.1662 ± 0.0073,0.1678 ± 0.0084,0.1701 ± 0.0082,0.1675 ± 0.0043
15,indian_liver,60,0.1603 ± 0.0056,0.1529 ± 0.0059,0.1642 ± 0.0068,0.1338 ± 0.0122,0.1616 ± 0.0039,0.1544 ± 0.0079,0.1546 ± 0.0069,0.1564 ± 0.0059,0.1523 ± 0.0053
16,parkinsons,10,0.1117 ± 0.0268,0.0979 ± 0.0154,0.2065 ± 0.0248,0.2187 ± 0.0532,0.1873 ± 0.0201,0.1468 ± 0.021,0.1459 ± 0.0219,0.149 ± 0.0229,0.1437 ± 0.0177
17,parkinsons,20,0.1211 ± 0.0243,0.1183 ± 0.0387,0.1975 ± 0.0151,0.229 ± 0.044,0.1866 ± 0.019,0.1549 ± 0.0246,0.1501 ± 0.0165,0.154 ± 0.026,0.1537 ± 0.0264
18,parkinsons,40,0.1448 ± 0.0214,0.1271 ± 0.0192,0.201 ± 0.0156,0.1884 ± 0.0286,0.1876 ± 0.0176,0.1581 ± 0.0191,0.164 ± 0.0238,0.1623 ± 0.0217,0.1574 ± 0.0177
19,parkinsons,60,0.1679 ± 0.0191,0.1544 ± 0.0214,0.2059 ± 0.0163,0.1746 ± 0.0359,0.1962 ± 0.017,0.1726 ± 0.0204,0.1718 ± 0.0171,0.171 ± 0.0193,0.1683 ± 0.0149
20,mammographic_masses,10,0.1455 ± 0.0219,0.1403 ± 0.035,0.1251 ± 0.0144,0.1749 ± 0.0379,0.2695 ± 0.0043,0.1883 ± 0.0129,0.1939 ± 0.0104,0.2051 ± 0.0135,0.1957 ± 0.0041
21,mammographic_masses,20,0.1884 ± 0.0284,0.1341 ± 0.0177,0.1967 ± 0.0255,0.1875 ± 0.0454,0.2725 ± 0.0059,0.1941 ± 0.0164,0.1939 ± 0.007,0.2001 ± 0.0096,0.1962 ± 0.0086
22,mammographic_masses,40,0.2358 ± 0.0218,0.1594 ± 0.0102,0.2033 ± 0.0126,0.1684 ± 0.0563,0.2845 ± 0.005,0.2071 ± 0.009,0.2048 ± 0.0071,0.2089 ± 0.0105,0.1991 ± 0.0087
23,mammographic_masses,60,0.2337 ± 0.0104,0.2093 ± 0.0068,0.2587 ± 0.0108,0.1748 ± 0.0389,0.3011 ± 0.0049,0.2306 ± 0.0066,0.2295 ± 0.0061,0.23 ± 0.009,0.2209 ± 0.0104
24,hcv_egyptian,10,0.3998 ± 0.007,0.3893 ± 0.0049,0.4597 ± 0.0049,0.3283 ± 0.0222,0.3955 ± 0.0043,0.3967 ± 0.0072,0.4036 ± 0.0079,0.3994 ± 0.0107,0.3983 ± 0.0062
25,hcv_egyptian,20,0.4072 ± 0.0048,0.3939 ± 0.006,0.4614 ± 0.0093,0.3434 ± 0.0163,0.3993 ± 0.0049,0.4055 ± 0.0041,0.4068 ± 0.0036,0.406 ± 0.0076,0.4007 ± 0.0075
26,hcv_egyptian,40,0.4256 ± 0.0079,0.4183 ± 0.0116,0.4559 ± 0.0032,0.2992 ± 0.0067,0.4069 ± 0.0038,0.4181 ± 0.0042,0.4209 ± 0.0051,0.418 ± 0.0032,0.4166 ± 0.0068
27,hcv_egyptian,60,0.4321 ± 0.0058,0.4397 ± 0.0077,0.454 ± 0.005,0.3066 ± 0.022,0.4186 ± 0.0049,0.4287 ± 0.0057,0.4287 ± 0.0045,0.4282 ± 0.0037,0.4253 ± 0.0049
28,thoracic_surgey,10,0.1381 ± 0.0171,0.1391 ± 0.0166,0.153 ± 0.0219,0.1652 ± 0.0242,0.1758 ± 0.0104,0.1747 ± 0.0195,0.1721 ± 0.0105,0.1684 ± 0.0157,0.1669 ± 0.0086
29,thoracic_surgey,20,0.1617 ± 0.0046,0.1429 ± 0.0102,0.1464 ± 0.0083,0.1354 ± 0.0135,0.1751 ± 0.0067,0.1744 ± 0.006,0.1743 ± 0.0126,0.1723 ± 0.0096,0.1747 ± 0.0068
30,thoracic_surgey,40,0.1869 ± 0.01,0.1849 ± 0.0269,0.1375 ± 0.0097,0.1293 ± 0.0142,0.1778 ± 0.0124,0.1745 ± 0.0103,0.1718 ± 0.008,0.1725 ± 0.011,0.1721 ± 0.0113
