,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2
0,wiscosin,10,0.0845 ± 0.0184,0.0768 ± 0.0134,0.1064 ± 0.0157,0.1118 ± 0.0177,0.1203 ± 0.0115,0.1096 ± 0.0115,0.1034 ± 0.0164,0.1112 ± 0.013
1,wiscosin,20,0.0785 ± 0.0136,0.0735 ± 0.0175,0.1138 ± 0.0138,0.1185 ± 0.0168,0.1157 ± 0.0069,0.1057 ± 0.0072,0.0955 ± 0.0096,0.1009 ± 0.018
2,wiscosin,40,0.0837 ± 0.005,0.0764 ± 0.0132,0.1083 ± 0.0084,0.1076 ± 0.0118,0.1116 ± 0.004,0.1023 ± 0.0091,0.1037 ± 0.0128,0.1018 ± 0.0095
3,wiscosin,60,0.0895 ± 0.0074,0.0893 ± 0.0163,0.1092 ± 0.0081,0.1412 ± 0.0273,0.1147 ± 0.0057,0.1017 ± 0.0114,0.1 ± 0.01,0.0984 ± 0.01
4,pima_diabetes,10,0.1271 ± 0.022,0.1273 ± 0.0061,0.13 ± 0.0113,0.139 ± 0.0111,0.1233 ± 0.0119,0.1428 ± 0.0352,0.1257 ± 0.011,0.1356 ± 0.0189
5,pima_diabetes,20,0.1254 ± 0.0154,0.1241 ± 0.0093,0.121 ± 0.007,0.1439 ± 0.0163,0.1245 ± 0.0092,0.1212 ± 0.0166,0.127 ± 0.011,0.1285 ± 0.0086
6,pima_diabetes,40,0.1274 ± 0.0086,0.1252 ± 0.0054,0.129 ± 0.0075,0.1405 ± 0.0155,0.1246 ± 0.0099,0.1182 ± 0.0114,0.1287 ± 0.0167,0.1233 ± 0.0061
7,pima_diabetes,60,0.1294 ± 0.0051,0.1258 ± 0.0054,0.1261 ± 0.0015,0.142 ± 0.0125,0.1278 ± 0.0107,0.1262 ± 0.0093,0.1259 ± 0.0085,0.1252 ± 0.0093
8,bc_coimbra,10,0.1419 ± 0.0261,0.1472 ± 0.0404,0.189 ± 0.0151,0.2279 ± 0.0962,0.1667 ± 0.0705,0.162 ± 0.0504,0.132 ± 0.0514,0.1537 ± 0.0342
9,bc_coimbra,20,0.1655 ± 0.0708,0.1546 ± 0.0303,0.1913 ± 0.0274,0.1547 ± 0.0682,0.1476 ± 0.0253,0.176 ± 0.0585,0.1575 ± 0.0382,0.1655 ± 0.023
10,bc_coimbra,40,0.168 ± 0.0392,0.1755 ± 0.0526,0.1948 ± 0.0191,0.1709 ± 0.0526,0.177 ± 0.0402,0.1657 ± 0.0495,0.1681 ± 0.0115,0.1576 ± 0.0314
11,bc_coimbra,60,0.1811 ± 0.0433,0.1662 ± 0.0519,0.1848 ± 0.0106,0.1714 ± 0.0464,0.1812 ± 0.0453,0.1747 ± 0.034,0.1943 ± 0.0492,0.1633 ± 0.0304
12,indian_liver,10,0.1166 ± 0.0148,0.1385 ± 0.0641,0.1261 ± 0.0214,0.1243 ± 0.0259,0.1288 ± 0.0165,0.1043 ± 0.0141,0.1108 ± 0.0109,0.1166 ± 0.0225
13,indian_liver,20,0.1108 ± 0.01,0.1039 ± 0.0086,0.1109 ± 0.0055,0.1286 ± 0.0226,0.1192 ± 0.0071,0.1174 ± 0.0256,0.1106 ± 0.0073,0.1149 ± 0.019
14,indian_liver,40,0.109 ± 0.0172,0.1129 ± 0.0097,0.1161 ± 0.0161,0.1095 ± 0.0117,0.1234 ± 0.0121,0.1092 ± 0.005,0.1121 ± 0.0133,0.1198 ± 0.012
15,indian_liver,60,0.12 ± 0.0058,0.119 ± 0.0145,0.107 ± 0.0097,0.1189 ± 0.0058,0.1209 ± 0.0073,0.1178 ± 0.0129,0.118 ± 0.0131,0.1125 ± 0.0089
16,parkinsons,10,0.0842 ± 0.0083,0.1477 ± 0.0863,0.1386 ± 0.0332,0.158 ± 0.0277,0.1337 ± 0.0404,0.1218 ± 0.0365,0.1189 ± 0.0204,0.1192 ± 0.0331
17,parkinsons,20,0.1037 ± 0.0253,0.1183 ± 0.0368,0.1576 ± 0.0233,0.1771 ± 0.0499,0.1616 ± 0.0647,0.1455 ± 0.0634,0.1105 ± 0.0099,0.1262 ± 0.023
18,parkinsons,40,0.1036 ± 0.0225,0.1198 ± 0.0358,0.1512 ± 0.0247,0.1729 ± 0.0523,0.1377 ± 0.0281,0.1409 ± 0.02,0.1374 ± 0.0292,0.1362 ± 0.0347
19,parkinsons,60,0.1197 ± 0.0277,0.1325 ± 0.0494,0.1519 ± 0.0289,0.1597 ± 0.024,0.1514 ± 0.0361,0.1396 ± 0.0281,0.1546 ± 0.0197,0.1413 ± 0.0284
20,mammographic_masses,10,0.2401 ± 0.019,0.2777 ± 0.0083,0.1882 ± 0.0219,0.2193 ± 0.0079,0.2791 ± 0.0148,0.2501 ± 0.0288,0.2475 ± 0.0217,0.2597 ± 0.04
21,mammographic_masses,20,0.2353 ± 0.0285,0.2739 ± 0.0064,0.2 ± 0.0071,0.2203 ± 0.0161,0.2669 ± 0.0065,0.2522 ± 0.0174,0.2503 ± 0.0118,0.2508 ± 0.0098
22,mammographic_masses,40,0.2419 ± 0.0112,0.2574 ± 0.0064,0.1989 ± 0.0113,0.2569 ± 0.0162,0.2699 ± 0.0047,0.2423 ± 0.0407,0.2361 ± 0.0136,0.2439 ± 0.023
23,mammographic_masses,60,0.2457 ± 0.0177,0.2481 ± 0.0095,0.1995 ± 0.0053,0.2441 ± 0.0158,0.2771 ± 0.0046,0.2481 ± 0.0119,0.2538 ± 0.0097,0.2433 ± 0.0118
24,hcv_egyptian,10,0.3202 ± 0.0059,0.3164 ± 0.0064,0.3173 ± 0.0142,0.3269 ± 0.0087,0.3172 ± 0.0077,0.3119 ± 0.007,0.3216 ± 0.0042,0.3134 ± 0.0091
25,hcv_egyptian,20,0.3276 ± 0.006,0.3191 ± 0.0062,0.3158 ± 0.0042,0.3247 ± 0.0059,0.3186 ± 0.0051,0.3173 ± 0.0048,0.3209 ± 0.0053,0.3174 ± 0.0057
26,hcv_egyptian,40,0.3249 ± 0.004,0.3166 ± 0.0042,0.3209 ± 0.0073,0.3265 ± 0.0055,0.3172 ± 0.0048,0.317 ± 0.0028,0.3167 ± 0.0059,0.3139 ± 0.0048
27,hcv_egyptian,60,0.3267 ± 0.0058,0.3191 ± 0.0093,0.3182 ± 0.0032,0.3218 ± 0.0076,0.3186 ± 0.0045,0.3164 ± 0.002,0.3169 ± 0.0051,0.3165 ± 0.0034
28,thoracic_surgey,10,0.1373 ± 0.0158,0.1627 ± 0.0189,0.1161 ± 0.0301,0.1428 ± 0.038,0.1369 ± 0.0155,0.1275 ± 0.0109,0.1486 ± 0.0215,0.1333 ± 0.0191
29,thoracic_surgey,20,0.1321 ± 0.0082,0.1371 ± 0.0147,0.1074 ± 0.0265,0.1381 ± 0.0174,0.1537 ± 0.009,0.1295 ± 0.0181,0.1431 ± 0.0103,0.1282 ± 0.0109
30,thoracic_surgey,40,0.1276 ± 0.009,0.1408 ± 0.0108,0.1066 ± 0.014,0.1228 ± 0.0193,0.1467 ± 0.0098,0.14 ± 0.0149,0.1452 ± 0.016,0.1325 ± 0.0049
31,thoracic_surgey,60,0.1433 ± 0.0163,0.1479 ± 0.0104,0.0987 ± 0.0158,0.1202 ± 0.0212,0.148 ± 0.0105,0.1391 ± 0.0078,0.1447 ± 0.0155,0.1448 ± 0.011
