,Dataset,Missing Rate,KNN,MICE,PMIVAE,SAEI,MEAN,LPR0,LPR1,LPR2
0,wiscosin,10.0,0.1044,0.0742,0.2023,0.1395,0.1984,0.1526,0.1527,0.1529
1,wiscosin,20.0,0.1116,0.0863,0.1942,0.0794,0.1918,0.1469,0.1471,0.1471
2,wiscosin,40.0,0.1318,0.1406,0.2019,0.0564,0.2002,0.1518,0.152,0.1522
3,wiscosin,60.0,0.1933,0.198,0.2285,0.0561,0.2271,0.1803,0.1806,0.1808
4,pima_diabetes,10.0,0.1862,0.2018,0.2415,0.1523,0.2405,0.2145,0.2185,0.2169
5,pima_diabetes,20.0,0.1821,0.1962,0.2286,0.1116,0.2279,0.205,0.2056,0.2058
6,pima_diabetes,40.0,0.2144,0.2227,0.238,0.0902,0.2375,0.2219,0.2219,0.2228
7,pima_diabetes,60.0,0.2531,0.2579,0.2587,0.077,0.2585,0.2501,0.2502,0.2498
8,bc_coimbra,10.0,0.1811,0.1967,0.263,0.164,0.2183,0.1833,0.1837,0.1839
9,bc_coimbra,20.0,0.2059,0.2062,0.2581,0.1304,0.219,0.1931,0.1917,0.1961
10,bc_coimbra,40.0,0.2366,0.2659,0.2735,0.1185,0.244,0.23,0.2298,0.2296
11,bc_coimbra,60.0,0.2809,0.2996,0.2946,0.1085,0.2858,0.2675,0.2679,0.2677
12,indian_liver,10.0,0.209,0.1959,0.255,0.1557,0.2357,0.2487,0.2485,0.2491
13,indian_liver,20.0,0.222,0.2038,0.2445,0.1266,0.2363,0.2382,0.2381,0.2391
14,indian_liver,40.0,0.1939,0.1878,0.2076,0.1077,0.2048,0.1941,0.1943,0.1944
15,indian_liver,60.0,0.192,0.1933,0.1999,0.1014,0.1978,0.186,0.1864,0.1866
16,parkinsons,10.0,0.1426,0.1384,0.2541,0.2213,0.2309,0.1854,0.1854,0.1845
17,parkinsons,20.0,0.1723,0.1724,0.2508,0.1525,0.2288,0.1951,0.1955,0.1957
18,parkinsons,40.0,0.2058,0.2264,0.2568,0.1376,0.2432,0.2104,0.2111,0.2112
19,parkinsons,60.0,0.2561,0.3223,0.2854,0.1774,0.2811,0.2632,0.2639,0.2661
20,mammographic_masses,10.0,0.1358,0.0973,0.1626,0.1327,0.2617,0.1966,0.177,0.1947
21,mammographic_masses,20.0,0.2073,0.1097,0.1675,0.1174,0.2739,0.1975,0.1927,0.1982
22,mammographic_masses,40.0,0.3382,0.1874,0.3208,0.1617,0.34,0.2514,0.2554,0.2548
23,mammographic_masses,60.0,0.4496,0.4293,0.4896,0.2001,0.4651,0.4288,0.428,0.4302
24,hcv_egyptian,10.0,0.4843,0.479,0.6143,0.3158,0.4879,0.5034,0.5048,0.4977
25,hcv_egyptian,20.0,0.5116,0.5138,0.6204,0.2399,0.5143,0.5362,0.5362,0.5358
26,hcv_egyptian,40.0,0.5837,0.5836,0.6282,0.2155,0.5816,0.5925,0.5925,0.5921
27,hcv_egyptian,60.0,0.5863,0.5849,0.5843,0.3079,0.5848,0.585,0.5846,0.5852
28,thoracic_surgey,10.0,0.1664,0.1417,0.1975,0.1569,0.2144,0.2148,0.2162,0.208
29,thoracic_surgey,20.0,0.1962,0.171,0.1899,0.146,0.2249,0.2145,0.2136,0.2153
30,thoracic_surgey,40.0,0.1919,0.235,0.1646,0.1173,0.2046,0.1946,0.1954,0.1969
31,thoracic_surgey,60.0,0.2032,0.2151,0.1323,0.0851,0.2041,0.1952,0.1939,0.1974
