,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mean,wiscosin,10,0.1751,0.0132
1,mean,wiscosin,20,0.1642,0.0114
2,mean,wiscosin,40,0.166,0.0128
3,mean,wiscosin,60,0.1824,0.0155
4,mean,pima_diabetes,10,0.1388,0.0156
5,mean,pima_diabetes,20,0.1352,0.0103
6,mean,pima_diabetes,40,0.1322,0.0118
7,mean,pima_diabetes,60,0.1409,0.0203
8,mean,bc_coimbra,10,0.201,0.0622
9,mean,bc_coimbra,20,0.2274,0.0564
10,mean,bc_coimbra,40,0.2176,0.0554
11,mean,bc_coimbra,60,0.2117,0.0522
12,mean,indian_liver,10,0.1078,0.0424
13,mean,indian_liver,20,0.1076,0.0351
14,mean,indian_liver,40,0.1045,0.0325
15,mean,indian_liver,60,0.1049,0.0315
16,mean,parkinsons,10,0.1899,0.0491
17,mean,parkinsons,20,0.1786,0.0388
18,mean,parkinsons,40,0.1718,0.0274
19,mean,parkinsons,60,0.1826,0.0189
20,mean,mammographic_masses,10,0.391,0.0336
21,mean,mammographic_masses,20,0.3836,0.0246
22,mean,mammographic_masses,40,0.3735,0.0232
23,mean,mammographic_masses,60,0.3619,0.0243
24,mean,hcv_egyptian,10,0.313,0.0097
25,mean,hcv_egyptian,20,0.3147,0.0083
26,mean,hcv_egyptian,40,0.316,0.0079
27,mean,hcv_egyptian,60,0.3147,0.0088
28,mean,thoracic_surgey,10,0.1679,0.0293
29,mean,thoracic_surgey,20,0.1673,0.0278
30,mean,thoracic_surgey,40,0.1704,0.0305
31,mean,thoracic_surgey,60,0.1634,0.0314
