,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr1,wiscosin,10,0.0922,0.015
1,lpr1,wiscosin,20,0.0796,0.0075
2,lpr1,wiscosin,40,0.0856,0.0108
3,lpr1,wiscosin,60,0.0962,0.0053
4,lpr1,pima_diabetes,10,0.1107,0.016
5,lpr1,pima_diabetes,20,0.1204,0.0233
6,lpr1,pima_diabetes,40,0.1137,0.0131
7,lpr1,pima_diabetes,60,0.1195,0.0116
8,lpr1,bc_coimbra,10,0.1818,0.0762
9,lpr1,bc_coimbra,20,0.1561,0.0635
10,lpr1,bc_coimbra,40,0.1673,0.0374
11,lpr1,bc_coimbra,60,0.1501,0.0621
12,lpr1,indian_liver,10,0.1274,0.0344
13,lpr1,indian_liver,20,0.1318,0.0309
14,lpr1,indian_liver,40,0.1257,0.022
15,lpr1,indian_liver,60,0.1136,0.0361
16,lpr1,parkinsons,10,0.1143,0.0332
17,lpr1,parkinsons,20,0.1072,0.0096
18,lpr1,parkinsons,40,0.1047,0.0191
19,lpr1,parkinsons,60,0.1278,0.0322
20,lpr1,mammographic_masses,10,0.2122,0.0365
21,lpr1,mammographic_masses,20,0.1966,0.0161
22,lpr1,mammographic_masses,40,0.2291,0.0274
23,lpr1,mammographic_masses,60,0.2246,0.0351
24,lpr1,hcv_egyptian,10,0.3186,0.027
25,lpr1,hcv_egyptian,20,0.3382,0.0214
26,lpr1,hcv_egyptian,40,0.3343,0.0272
27,lpr1,hcv_egyptian,60,0.3377,0.0285
28,lpr1,thoracic_surgey,10,0.1166,0.0268
29,lpr1,thoracic_surgey,20,0.1399,0.0187
30,lpr1,thoracic_surgey,40,0.1412,0.0206
31,lpr1,thoracic_surgey,60,0.1338,0.0169
