,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,saei,wiscosin,10,0.1156,0.0241
1,saei,wiscosin,20,0.0945,0.0192
2,saei,wiscosin,40,0.1127,0.0187
3,saei,wiscosin,60,0.1153,0.0112
4,saei,pima_diabetes,10,0.1332,0.0287
5,saei,pima_diabetes,20,0.1203,0.0115
6,saei,pima_diabetes,40,0.1285,0.034
7,saei,pima_diabetes,60,0.1446,0.0186
8,saei,bc_coimbra,10,0.1706,0.0749
9,saei,bc_coimbra,20,0.2078,0.1044
10,saei,bc_coimbra,40,0.1403,0.027
11,saei,bc_coimbra,60,0.183,0.0633
12,saei,indian_liver,10,0.1067,0.0412
13,saei,indian_liver,20,0.1532,0.0682
14,saei,indian_liver,40,0.1032,0.038
15,saei,indian_liver,60,0.1186,0.0324
16,saei,parkinsons,10,0.2049,0.1003
17,saei,parkinsons,20,0.153,0.0568
18,saei,parkinsons,40,0.1633,0.0301
19,saei,parkinsons,60,0.1652,0.0402
20,saei,mammographic_masses,10,0.2393,0.0634
21,saei,mammographic_masses,20,0.2573,0.0541
22,saei,mammographic_masses,40,0.2227,0.0281
23,saei,mammographic_masses,60,0.2105,0.0214
24,saei,hcv_egyptian,10,0.3342,0.0242
25,saei,hcv_egyptian,20,0.3358,0.0156
26,saei,hcv_egyptian,40,0.3127,0.0395
27,saei,hcv_egyptian,60,0.3434,0.0208
28,saei,thoracic_surgey,10,0.1232,0.0711
29,saei,thoracic_surgey,20,0.1519,0.0291
30,saei,thoracic_surgey,40,0.1191,0.0548
31,saei,thoracic_surgey,60,0.1258,0.037
