,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,knn,wiscosin,10,0.0981,0.0216
1,knn,wiscosin,20,0.0779,0.0135
2,knn,wiscosin,40,0.0837,0.0132
3,knn,wiscosin,60,0.0894,0.0076
4,knn,pima_diabetes,10,0.1283,0.0075
5,knn,pima_diabetes,20,0.1272,0.0033
6,knn,pima_diabetes,40,0.1316,0.0097
7,knn,pima_diabetes,60,0.1289,0.0074
8,knn,bc_coimbra,10,0.1617,0.0305
9,knn,bc_coimbra,20,0.183,0.0505
10,knn,bc_coimbra,40,0.1637,0.034
11,knn,bc_coimbra,60,0.1878,0.0607
12,knn,indian_liver,10,0.1134,0.0163
13,knn,indian_liver,20,0.1248,0.0273
14,knn,indian_liver,40,0.1175,0.0101
15,knn,indian_liver,60,0.1179,0.0086
16,knn,parkinsons,10,0.103,0.0372
17,knn,parkinsons,20,0.1095,0.0369
18,knn,parkinsons,40,0.1212,0.032
19,knn,parkinsons,60,0.1198,0.024
20,knn,mammographic_masses,10,0.2345,0.0205
21,knn,mammographic_masses,20,0.2354,0.021
22,knn,mammographic_masses,40,0.24,0.0123
23,knn,mammographic_masses,60,0.2542,0.0189
24,knn,hcv_egyptian,10,0.3298,0.0132
25,knn,hcv_egyptian,20,0.3223,0.005
26,knn,hcv_egyptian,40,0.3254,0.0058
27,knn,hcv_egyptian,60,0.325,0.0028
28,knn,thoracic_surgey,10,0.1482,0.0206
29,knn,thoracic_surgey,20,0.1417,0.0146
30,knn,thoracic_surgey,40,0.1391,0.0049
31,knn,thoracic_surgey,60,0.1474,0.0091
