,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr1,wiscosin,10,0.12,0.0092
1,lpr1,wiscosin,20,0.1184,0.0075
2,lpr1,wiscosin,40,0.116,0.0088
3,lpr1,wiscosin,60,0.1172,0.0069
4,lpr1,pima_diabetes,10,0.1744,0.0153
5,lpr1,pima_diabetes,20,0.1668,0.0141
6,lpr1,pima_diabetes,40,0.1662,0.0123
7,lpr1,pima_diabetes,60,0.1691,0.0112
8,lpr1,bc_coimbra,10,0.1717,0.0632
9,lpr1,bc_coimbra,20,0.1672,0.016
10,lpr1,bc_coimbra,40,0.1828,0.0201
11,lpr1,bc_coimbra,60,0.1895,0.0319
12,lpr1,indian_liver,10,0.1868,0.0097
13,lpr1,indian_liver,20,0.1728,0.0079
14,lpr1,indian_liver,40,0.1728,0.0077
15,lpr1,indian_liver,60,0.1553,0.0062
16,lpr1,parkinsons,10,0.1427,0.0174
17,lpr1,parkinsons,20,0.1543,0.0232
18,lpr1,parkinsons,40,0.1628,0.023
19,lpr1,parkinsons,60,0.1716,0.0178
20,lpr1,mammographic_masses,10,0.1875,0.0106
21,lpr1,mammographic_masses,20,0.1928,0.0102
22,lpr1,mammographic_masses,40,0.2085,0.0141
23,lpr1,mammographic_masses,60,0.23,0.0083
24,lpr1,hcv_egyptian,10,0.3988,0.0096
25,lpr1,hcv_egyptian,20,0.4078,0.0065
26,lpr1,hcv_egyptian,40,0.42,0.0042
27,lpr1,hcv_egyptian,60,0.4266,0.005
28,lpr1,thoracic_surgey,10,0.1703,0.0141
29,lpr1,thoracic_surgey,20,0.1752,0.0153
30,lpr1,thoracic_surgey,40,0.1745,0.0108
31,lpr1,thoracic_surgey,60,0.1737,0.0118
