,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr3,wiscosin,10,0.0932,0.0127
1,lpr3,wiscosin,20,0.1026,0.0148
2,lpr3,wiscosin,40,0.107,0.0115
3,lpr3,wiscosin,60,0.1003,0.0112
4,lpr3,pima_diabetes,10,0.1287,0.0237
5,lpr3,pima_diabetes,20,0.1196,0.0105
6,lpr3,pima_diabetes,40,0.1258,0.0056
7,lpr3,pima_diabetes,60,0.1277,0.0092
8,lpr3,bc_coimbra,10,0.1455,0.0159
9,lpr3,bc_coimbra,20,0.1759,0.0553
10,lpr3,bc_coimbra,40,0.1552,0.0392
11,lpr3,bc_coimbra,60,0.1675,0.0529
12,lpr3,indian_liver,10,0.1203,0.0247
13,lpr3,indian_liver,20,0.1067,0.0153
14,lpr3,indian_liver,40,0.1183,0.0085
15,lpr3,indian_liver,60,0.1134,0.0096
16,lpr3,parkinsons,10,0.1333,0.0313
17,lpr3,parkinsons,20,0.1239,0.0376
18,lpr3,parkinsons,40,0.129,0.0264
19,lpr3,parkinsons,60,0.1516,0.0346
20,lpr3,mammographic_masses,10,0.2126,0.0546
21,lpr3,mammographic_masses,20,0.2324,0.0148
22,lpr3,mammographic_masses,40,0.2544,0.0206
23,lpr3,mammographic_masses,60,0.2543,0.0109
24,lpr3,hcv_egyptian,10,0.3185,0.0185
25,lpr3,hcv_egyptian,20,0.3133,0.0058
26,lpr3,hcv_egyptian,40,0.3194,0.0013
27,lpr3,hcv_egyptian,60,0.3173,0.0046
28,lpr3,thoracic_surgey,10,0.1286,0.0168
29,lpr3,thoracic_surgey,20,0.1377,0.0057
30,lpr3,thoracic_surgey,40,0.1401,0.0102
31,lpr3,thoracic_surgey,60,0.1379,0.01
