,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,pmivae,wiscosin,10,0.105,0.0109
1,pmivae,wiscosin,20,0.1056,0.009
2,pmivae,wiscosin,40,0.1104,0.0071
3,pmivae,wiscosin,60,0.1153,0.0092
4,pmivae,pima_diabetes,10,0.1312,0.0144
5,pmivae,pima_diabetes,20,0.1252,0.0116
6,pmivae,pima_diabetes,40,0.1263,0.0112
7,pmivae,pima_diabetes,60,0.1292,0.008
8,pmivae,bc_coimbra,10,0.1703,0.0271
9,pmivae,bc_coimbra,20,0.1831,0.0314
10,pmivae,bc_coimbra,40,0.1903,0.0137
11,pmivae,bc_coimbra,60,0.1822,0.0283
12,pmivae,indian_liver,10,0.1072,0.0091
13,pmivae,indian_liver,20,0.1171,0.0185
14,pmivae,indian_liver,40,0.1114,0.0148
15,pmivae,indian_liver,60,0.1097,0.0058
16,pmivae,parkinsons,10,0.1446,0.0341
17,pmivae,parkinsons,20,0.1548,0.0505
18,pmivae,parkinsons,40,0.1472,0.0234
19,pmivae,parkinsons,60,0.1537,0.0136
20,pmivae,mammographic_masses,10,0.192,0.0244
21,pmivae,mammographic_masses,20,0.1936,0.0222
22,pmivae,mammographic_masses,40,0.1954,0.01
23,pmivae,mammographic_masses,60,0.201,0.0058
24,pmivae,hcv_egyptian,10,0.3115,0.0104
25,pmivae,hcv_egyptian,20,0.3226,0.0127
26,pmivae,hcv_egyptian,40,0.3157,0.0064
27,pmivae,hcv_egyptian,60,0.3159,0.0068
28,pmivae,thoracic_surgey,10,0.0774,0.0183
29,pmivae,thoracic_surgey,20,0.1011,0.0102
30,pmivae,thoracic_surgey,40,0.1025,0.0054
31,pmivae,thoracic_surgey,60,0.1031,0.0105
