,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mean,wiscosin,10,0.1571,0.006
1,mean,wiscosin,20,0.1548,0.0096
2,mean,wiscosin,40,0.1532,0.008
3,mean,wiscosin,60,0.1571,0.0065
4,mean,pima_diabetes,10,0.196,0.0158
5,mean,pima_diabetes,20,0.1794,0.0107
6,mean,pima_diabetes,40,0.1747,0.0113
7,mean,pima_diabetes,60,0.1807,0.0089
8,mean,bc_coimbra,10,0.1931,0.0379
9,mean,bc_coimbra,20,0.2039,0.0224
10,mean,bc_coimbra,40,0.1941,0.0315
11,mean,bc_coimbra,60,0.2122,0.0394
12,mean,indian_liver,10,0.1836,0.0108
13,mean,indian_liver,20,0.1739,0.0061
14,mean,indian_liver,40,0.1709,0.0082
15,mean,indian_liver,60,0.1616,0.0039
16,mean,parkinsons,10,0.1873,0.0201
17,mean,parkinsons,20,0.1866,0.019
18,mean,parkinsons,40,0.1876,0.0176
19,mean,parkinsons,60,0.1962,0.017
20,mean,mammographic_masses,10,0.2695,0.0043
21,mean,mammographic_masses,20,0.2725,0.0059
22,mean,mammographic_masses,40,0.2845,0.005
23,mean,mammographic_masses,60,0.3011,0.0049
24,mean,hcv_egyptian,10,0.3955,0.0043
25,mean,hcv_egyptian,20,0.3993,0.0049
26,mean,hcv_egyptian,40,0.4069,0.0038
27,mean,hcv_egyptian,60,0.4186,0.0049
28,mean,thoracic_surgey,10,0.1758,0.0104
29,mean,thoracic_surgey,20,0.1751,0.0067
30,mean,thoracic_surgey,40,0.1778,0.0124
31,mean,thoracic_surgey,60,0.1799,0.0131
