,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,pmivae,wiscosin,10,0.1576,0.0078
1,pmivae,wiscosin,20,0.1557,0.0061
2,pmivae,wiscosin,40,0.1544,0.0059
3,pmivae,wiscosin,60,0.1583,0.008
4,pmivae,pima_diabetes,10,0.1922,0.0142
5,pmivae,pima_diabetes,20,0.1781,0.0125
6,pmivae,pima_diabetes,40,0.1778,0.0095
7,pmivae,pima_diabetes,60,0.1803,0.0092
8,pmivae,bc_coimbra,10,0.2317,0.0284
9,pmivae,bc_coimbra,20,0.219,0.0362
10,pmivae,bc_coimbra,40,0.2344,0.0313
11,pmivae,bc_coimbra,60,0.2334,0.0375
12,pmivae,indian_liver,10,0.1874,0.0149
13,pmivae,indian_liver,20,0.1745,0.0115
14,pmivae,indian_liver,40,0.1743,0.0054
15,pmivae,indian_liver,60,0.1642,0.0068
16,pmivae,parkinsons,10,0.2065,0.0248
17,pmivae,parkinsons,20,0.1975,0.0151
18,pmivae,parkinsons,40,0.201,0.0156
19,pmivae,parkinsons,60,0.2059,0.0163
20,pmivae,mammographic_masses,10,0.1251,0.0144
21,pmivae,mammographic_masses,20,0.1967,0.0255
22,pmivae,mammographic_masses,40,0.2033,0.0126
23,pmivae,mammographic_masses,60,0.2587,0.0108
24,pmivae,hcv_egyptian,10,0.4597,0.0049
25,pmivae,hcv_egyptian,20,0.4614,0.0093
26,pmivae,hcv_egyptian,40,0.4559,0.0032
27,pmivae,hcv_egyptian,60,0.454,0.005
28,pmivae,thoracic_surgey,10,0.153,0.0219
29,pmivae,thoracic_surgey,20,0.1464,0.0083
30,pmivae,thoracic_surgey,40,0.1375,0.0097
31,pmivae,thoracic_surgey,60,0.1501,0.0133
