,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr0,wiscosin,10,0.0925,0.0115
1,lpr0,wiscosin,20,0.0918,0.015
2,lpr0,wiscosin,40,0.0839,0.0078
3,lpr0,wiscosin,60,0.0907,0.0094
4,lpr0,pima_diabetes,10,0.1111,0.0256
5,lpr0,pima_diabetes,20,0.1085,0.0318
6,lpr0,pima_diabetes,40,0.1106,0.0148
7,lpr0,pima_diabetes,60,0.1249,0.0115
8,lpr0,bc_coimbra,10,0.1405,0.054
9,lpr0,bc_coimbra,20,0.143,0.0434
10,lpr0,bc_coimbra,40,0.1374,0.0465
11,lpr0,bc_coimbra,60,0.16,0.0583
12,lpr0,indian_liver,10,0.1095,0.0344
13,lpr0,indian_liver,20,0.0905,0.0251
14,lpr0,indian_liver,40,0.1018,0.0218
15,lpr0,indian_liver,60,0.105,0.0372
16,lpr0,parkinsons,10,0.0994,0.0217
17,lpr0,parkinsons,20,0.1016,0.0282
18,lpr0,parkinsons,40,0.115,0.0123
19,lpr0,parkinsons,60,0.1356,0.0295
20,lpr0,mammographic_masses,10,0.244,0.0402
21,lpr0,mammographic_masses,20,0.2108,0.0289
22,lpr0,mammographic_masses,40,0.2178,0.0433
23,lpr0,mammographic_masses,60,0.201,0.0241
24,lpr0,hcv_egyptian,10,0.3314,0.0253
25,lpr0,hcv_egyptian,20,0.3094,0.0178
26,lpr0,hcv_egyptian,40,0.3278,0.025
27,lpr0,hcv_egyptian,60,0.3172,0.0284
28,lpr0,thoracic_surgey,10,0.1417,0.0325
29,lpr0,thoracic_surgey,20,0.1382,0.0357
30,lpr0,thoracic_surgey,40,0.1218,0.0283
31,lpr0,thoracic_surgey,60,0.1573,0.0155
