,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9578,0.9296,0.9571
1,wiscosin,20,0.9491,0.9061,0.956
2,wiscosin,40,0.9367,0.8823,0.9456
3,wiscosin,60,0.935,0.8683,0.9545
4,pima_diabetes,10,0.7696,0.5746,0.7096
5,pima_diabetes,20,0.7488,0.5301,0.6858
6,pima_diabetes,40,0.7383,0.5525,0.6492
7,pima_diabetes,60,0.7149,0.5342,0.6189
8,bc_coimbra,10,0.6638,0.5745,0.7151
9,bc_coimbra,20,0.6982,0.5545,0.7923
10,bc_coimbra,40,0.6543,0.5527,0.6609
11,bc_coimbra,60,0.6109,0.6436,0.5131
12,indian_liver,10,0.7151,0.8577,0.7706
13,indian_liver,20,0.7081,0.872,0.7591
14,indian_liver,40,0.684,0.8577,0.7425
15,indian_liver,60,0.6789,0.8384,0.7462
16,parkinsons,10,0.7795,0.9186,0.8213
17,parkinsons,20,0.8308,0.9389,0.8615
18,parkinsons,40,0.7692,0.8975,0.825
19,parkinsons,60,0.7692,0.8915,0.834
20,mammographic_masses,10,0.8084,0.8684,0.7691
21,mammographic_masses,20,0.7964,0.8384,0.7678
22,mammographic_masses,40,0.7904,0.841,0.7562
23,mammographic_masses,60,0.7819,0.8608,0.7374
24,hcv_egyptian,10,0.244,0.244,0.244
25,hcv_egyptian,20,0.2549,0.2549,0.2549
26,hcv_egyptian,40,0.2679,0.2679,0.2679
27,hcv_egyptian,60,0.2462,0.2462,0.2462
28,thoracic_surgey,10,0.8489,0.0429,0.12
29,thoracic_surgey,20,0.8362,0.0143,0.0667
30,thoracic_surgey,40,0.8404,0.0714,0.2024
31,thoracic_surgey,60,0.8255,0.0286,0.1
