,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9561,0.9297,0.9528
1,wiscosin,20,0.9596,0.9296,0.9625
2,wiscosin,40,0.9578,0.9343,0.9529
3,wiscosin,60,0.9543,0.9346,0.9437
4,pima_diabetes,10,0.7631,0.5526,0.7098
5,pima_diabetes,20,0.7526,0.4964,0.7151
6,pima_diabetes,40,0.7553,0.5301,0.7085
7,pima_diabetes,60,0.7397,0.4966,0.6708
8,bc_coimbra,10,0.6993,0.5782,0.7341
9,bc_coimbra,20,0.6554,0.5382,0.6721
10,bc_coimbra,40,0.6457,0.4382,0.7049
11,bc_coimbra,60,0.5359,0.2836,0.5583
12,indian_liver,10,0.6926,0.8722,0.7441
13,indian_liver,20,0.6909,0.8843,0.7376
14,indian_liver,40,0.7271,0.9301,0.7501
15,indian_liver,60,0.6978,0.8843,0.7439
16,parkinsons,10,0.7744,0.9113,0.8237
17,parkinsons,20,0.7897,0.9248,0.8306
18,parkinsons,40,0.8103,0.9455,0.8368
19,parkinsons,60,0.7846,0.9244,0.8233
20,mammographic_masses,10,0.8036,0.8485,0.7715
21,mammographic_masses,20,0.7928,0.8285,0.766
22,mammographic_masses,40,0.8012,0.8634,0.7613
23,mammographic_masses,60,0.7904,0.8237,0.7643
24,hcv_egyptian,10,0.2433,0.2433,0.2433
25,hcv_egyptian,20,0.252,0.252,0.252
26,hcv_egyptian,40,0.239,0.239,0.239
27,hcv_egyptian,60,0.2498,0.2498,0.2498
28,thoracic_surgey,10,0.8489,0.0,0.0
29,thoracic_surgey,20,0.8489,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8511,0.0,0.0
