,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.7875,0.4628,0.9398
1,wiscosin,20,0.7014,0.1988,1.0
2,wiscosin,40,0.6274,0.0,0.0
3,wiscosin,60,0.6274,0.0,0.0
4,pima_diabetes,10,0.7279,0.4553,0.6703
5,pima_diabetes,20,0.737,0.4033,0.723
6,pima_diabetes,40,0.6836,0.1495,0.7369
7,pima_diabetes,60,0.6563,0.0187,0.35
8,bc_coimbra,10,0.4565,0.4636,0.4117
9,bc_coimbra,20,0.6123,0.44,0.7192
10,bc_coimbra,40,0.5692,0.1182,0.42
11,bc_coimbra,60,0.5601,0.0182,0.2
12,indian_liver,10,0.7289,0.9831,0.731
13,indian_liver,20,0.7047,0.9783,0.7143
14,indian_liver,40,0.7012,0.9807,0.711
15,indian_liver,60,0.7167,1.0,0.7163
16,parkinsons,10,0.8,1.0,0.791
17,parkinsons,20,0.7538,0.9598,0.7712
18,parkinsons,40,0.7538,1.0,0.7538
19,parkinsons,60,0.7538,1.0,0.7538
20,mammographic_masses,10,0.6904,0.5507,0.7483
21,mammographic_masses,20,0.6133,0.446,0.7163
22,mammographic_masses,40,0.5386,0.067,0.8
23,mammographic_masses,60,0.5229,0.0249,0.8333
24,hcv_egyptian,10,0.257,0.257,0.257
25,hcv_egyptian,20,0.2614,0.2614,0.2614
26,hcv_egyptian,40,0.2664,0.2664,0.2664
27,hcv_egyptian,60,0.2664,0.2664,0.2664
28,thoracic_surgey,10,0.8447,0.0143,0.1
29,thoracic_surgey,20,0.8489,0.0143,0.2
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8511,0.0,0.0
