,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9333,0.8594,0.9581
1,wiscosin,20,0.8998,0.7835,0.9404
2,wiscosin,40,0.833,0.5942,0.9352
3,wiscosin,60,0.8121,0.5338,0.9263
4,pima_diabetes,10,0.754,0.5074,0.7096
5,pima_diabetes,20,0.737,0.4554,0.6946
6,pima_diabetes,40,0.7083,0.3503,0.6642
7,pima_diabetes,60,0.6927,0.434,0.5889
8,bc_coimbra,10,0.638,0.52,0.6981
9,bc_coimbra,20,0.6467,0.4218,0.745
10,bc_coimbra,40,0.6725,0.3309,0.9056
11,bc_coimbra,60,0.5851,0.3309,0.5467
12,indian_liver,10,0.6995,0.8746,0.7487
13,indian_liver,20,0.6978,0.9011,0.7358
14,indian_liver,40,0.7168,0.9397,0.7368
15,indian_liver,60,0.7116,0.9662,0.7237
16,parkinsons,10,0.7692,0.932,0.8024
17,parkinsons,20,0.7744,0.932,0.806
18,parkinsons,40,0.7949,0.9522,0.8154
19,parkinsons,60,0.7436,0.9391,0.773
20,mammographic_masses,10,0.7867,0.8534,0.7462
21,mammographic_masses,20,0.7747,0.8585,0.7303
22,mammographic_masses,40,0.7084,0.8414,0.6663
23,mammographic_masses,60,0.6711,0.7022,0.6717
24,hcv_egyptian,10,0.2556,0.2556,0.2556
25,hcv_egyptian,20,0.2253,0.2253,0.2253
26,hcv_egyptian,40,0.2491,0.2491,0.2491
27,hcv_egyptian,60,0.231,0.231,0.231
28,thoracic_surgey,10,0.8468,0.0,0.0
29,thoracic_surgey,20,0.8489,0.0,0.0
30,thoracic_surgey,40,0.8489,0.0,0.0
31,thoracic_surgey,60,0.8468,0.0,0.0
