,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9578,0.9203,0.9655
1,wiscosin,20,0.9526,0.9298,0.9433
2,wiscosin,40,0.9403,0.8968,0.9404
3,wiscosin,60,0.9315,0.8682,0.9471
4,pima_diabetes,10,0.7644,0.5376,0.7161
5,pima_diabetes,20,0.7552,0.4702,0.7381
6,pima_diabetes,40,0.7474,0.4442,0.7343
7,pima_diabetes,60,0.7162,0.3585,0.6779
8,bc_coimbra,10,0.6645,0.5382,0.7245
9,bc_coimbra,20,0.6453,0.5564,0.6374
10,bc_coimbra,40,0.6377,0.5164,0.6859
11,bc_coimbra,60,0.5264,0.46,0.448
12,indian_liver,10,0.7047,0.8891,0.7456
13,indian_liver,20,0.684,0.8891,0.7297
14,indian_liver,40,0.6874,0.9132,0.7231
15,indian_liver,60,0.6961,0.9494,0.7173
16,parkinsons,10,0.8051,0.9253,0.8457
17,parkinsons,20,0.8051,0.9529,0.8262
18,parkinsons,40,0.7744,0.912,0.8169
19,parkinsons,60,0.7692,0.9315,0.7995
20,mammographic_masses,10,0.8024,0.841,0.7743
21,mammographic_masses,20,0.8096,0.8485,0.7809
22,mammographic_masses,40,0.7928,0.8311,0.7636
23,mammographic_masses,60,0.7795,0.794,0.7656
24,hcv_egyptian,10,0.244,0.244,0.244
25,hcv_egyptian,20,0.2433,0.2433,0.2433
26,hcv_egyptian,40,0.2354,0.2354,0.2354
27,hcv_egyptian,60,0.2404,0.2404,0.2404
28,thoracic_surgey,10,0.8468,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8489,0.0,0.0
31,thoracic_surgey,60,0.8511,0.0,0.0
