,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9526,0.9202,0.9523
1,wiscosin,20,0.9473,0.9061,0.951
2,wiscosin,40,0.9156,0.845,0.9237
3,wiscosin,60,0.7874,0.581,0.7926
4,pima_diabetes,10,0.7578,0.5039,0.7239
5,pima_diabetes,20,0.7487,0.4741,0.7096
6,pima_diabetes,40,0.7396,0.4328,0.713
7,pima_diabetes,60,0.7018,0.2874,0.6849
8,bc_coimbra,10,0.6464,0.5182,0.7083
9,bc_coimbra,20,0.6808,0.6509,0.6911
10,bc_coimbra,40,0.492,0.2909,0.4601
11,bc_coimbra,60,0.5348,0.3509,0.5449
12,indian_liver,10,0.7064,0.8867,0.7525
13,indian_liver,20,0.7151,0.918,0.7447
14,indian_liver,40,0.7064,0.9662,0.7195
15,indian_liver,60,0.722,0.9566,0.735
16,parkinsons,10,0.8256,0.9798,0.83
17,parkinsons,20,0.7949,0.9526,0.8111
18,parkinsons,40,0.7846,0.9598,0.7988
19,parkinsons,60,0.7846,0.9726,0.7942
20,mammographic_masses,10,0.7964,0.8336,0.7678
21,mammographic_masses,20,0.8072,0.8535,0.7736
22,mammographic_masses,40,0.7675,0.8062,0.7404
23,mammographic_masses,60,0.7639,0.7815,0.7448
24,hcv_egyptian,10,0.2455,0.2455,0.2455
25,hcv_egyptian,20,0.2729,0.2729,0.2729
26,hcv_egyptian,40,0.2498,0.2498,0.2498
27,hcv_egyptian,60,0.2325,0.2325,0.2325
28,thoracic_surgey,10,0.8489,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8511,0.0,0.0
