,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.9578,0.925,0.9609
1,wiscosin,20,0.9491,0.9107,0.9523
2,wiscosin,40,0.9333,0.8638,0.9553
3,wiscosin,60,0.949,0.9154,0.9474
4,pima_diabetes,10,0.767,0.5115,0.7417
5,pima_diabetes,20,0.7513,0.474,0.7196
6,pima_diabetes,40,0.7565,0.47,0.7417
7,pima_diabetes,60,0.763,0.459,0.7756
8,bc_coimbra,10,0.6891,0.5764,0.7589
9,bc_coimbra,20,0.6638,0.5745,0.7045
10,bc_coimbra,40,0.6395,0.5455,0.6798
11,bc_coimbra,60,0.5783,0.4291,0.5418
12,indian_liver,10,0.6909,0.8867,0.7369
13,indian_liver,20,0.7047,0.9301,0.7311
14,indian_liver,40,0.7012,0.9398,0.7247
15,indian_liver,60,0.7168,0.9373,0.7385
16,parkinsons,10,0.8051,0.9593,0.8229
17,parkinsons,20,0.7846,0.9326,0.8158
18,parkinsons,40,0.8103,0.9591,0.8237
19,parkinsons,60,0.7744,0.9315,0.8023
20,mammographic_masses,10,0.8012,0.8435,0.77
21,mammographic_masses,20,0.812,0.851,0.7829
22,mammographic_masses,40,0.7916,0.831,0.7627
23,mammographic_masses,60,0.8012,0.866,0.7595
24,hcv_egyptian,10,0.2448,0.2448,0.2448
25,hcv_egyptian,20,0.2282,0.2282,0.2282
26,hcv_egyptian,40,0.2556,0.2556,0.2556
27,hcv_egyptian,60,0.2491,0.2491,0.2491
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8511,0.0,0.0
30,thoracic_surgey,40,0.8511,0.0,0.0
31,thoracic_surgey,60,0.8511,0.0,0.0
