,dataset,missing_rate,accuracy,recall,precision
0,wiscosin,10,0.6011,0.0947,0.3479
1,wiscosin,20,0.5818,0.1132,0.3222
2,wiscosin,40,0.5922,0.0755,0.3184
3,wiscosin,60,0.5976,0.0848,0.3529
4,pima_diabetes,10,0.6302,0.041,0.3171
5,pima_diabetes,20,0.6406,0.0484,0.5393
6,pima_diabetes,40,0.6354,0.0371,0.2449
7,pima_diabetes,60,0.6328,0.0223,0.1952
8,bc_coimbra,10,0.4996,0.3836,0.4976
9,bc_coimbra,20,0.525,0.3473,0.4814
10,bc_coimbra,40,0.5257,0.3455,0.4578
11,bc_coimbra,60,0.5355,0.3818,0.5022
12,indian_liver,10,0.7116,0.9711,0.7219
13,indian_liver,20,0.7168,0.9904,0.7193
14,indian_liver,40,0.6978,0.9686,0.7123
15,indian_liver,60,0.7116,0.9759,0.7202
16,parkinsons,10,0.7077,0.9384,0.7415
17,parkinsons,20,0.7436,0.966,0.7597
18,parkinsons,40,0.7179,0.9455,0.7471
19,parkinsons,60,0.7436,0.98,0.7541
20,mammographic_masses,10,0.5048,0.464,0.4931
21,mammographic_masses,20,0.5072,0.3895,0.4918
22,mammographic_masses,40,0.4843,0.3744,0.459
23,mammographic_masses,60,0.4988,0.3846,0.4823
24,hcv_egyptian,10,0.2722,0.2722,0.2722
25,hcv_egyptian,20,0.2599,0.2599,0.2599
26,hcv_egyptian,40,0.2484,0.2484,0.2484
27,hcv_egyptian,60,0.2671,0.2671,0.2671
28,thoracic_surgey,10,0.8511,0.0,0.0
29,thoracic_surgey,20,0.8447,0.0,0.0
30,thoracic_surgey,40,0.8468,0.0,0.0
31,thoracic_surgey,60,0.8468,0.0,0.0
