,Model,Dataset,Missing Rate (%),Métrica,Teste
0,mean,sylva_prior,10,MAE,0.09514482181778491
1,mean,sylva_prior,10,MAE,0.0846512223576488
2,mean,sylva_prior,10,MAE,0.08831452900838573
3,mean,sylva_prior,10,MAE,0.09073134230734692
4,mean,sylva_prior,10,MAE,0.07454790836678507
5,mean,sylva_prior,20,MAE,0.07099361590696182
6,mean,sylva_prior,20,MAE,0.08333702823860385
7,mean,sylva_prior,20,MAE,0.08408004390661555
8,mean,sylva_prior,20,MAE,0.07967286079428654
9,mean,sylva_prior,20,MAE,0.08179055670313222
10,mean,sylva_prior,40,MAE,0.08508427185121059
11,mean,sylva_prior,40,MAE,0.10559704347046016
12,mean,sylva_prior,40,MAE,0.08470911319741126
13,mean,sylva_prior,40,MAE,0.07186207647145826
14,mean,sylva_prior,40,MAE,0.08103418883128642
15,mean,sylva_prior,60,MAE,0.0793639117836459
16,mean,sylva_prior,60,MAE,0.10107060581977276
17,mean,sylva_prior,60,MAE,0.09137023395292383
18,mean,sylva_prior,60,MAE,0.07634838607348352
19,mean,sylva_prior,60,MAE,0.06705276849666822
20,mean,fri_c4_1000_100,10,MAE,1.0284614687949085
21,mean,fri_c4_1000_100,10,MAE,0.10398794965768378
22,mean,fri_c4_1000_100,10,MAE,0.8013384442757772
23,mean,fri_c4_1000_100,10,MAE,0.12262431758394325
24,mean,fri_c4_1000_100,10,MAE,0.1456106045316586
25,mean,fri_c4_1000_100,20,MAE,0.08635920401336318
26,mean,fri_c4_1000_100,20,MAE,0.10851934156188638
27,mean,fri_c4_1000_100,20,MAE,0.12906479512354405
28,mean,fri_c4_1000_100,20,MAE,0.19875899855697501
29,mean,fri_c4_1000_100,20,MAE,0.11156718558348803
30,mean,fri_c4_1000_100,40,MAE,0.12432808172120492
31,mean,fri_c4_1000_100,40,MAE,0.06419681906266914
32,mean,fri_c4_1000_100,40,MAE,0.2668339802154319
33,mean,fri_c4_1000_100,40,MAE,0.2476415973038705
34,mean,fri_c4_1000_100,40,MAE,0.12236440296350802
35,mean,fri_c4_1000_100,60,MAE,0.22546915247244126
36,mean,fri_c4_1000_100,60,MAE,0.10323306527364769
37,mean,fri_c4_1000_100,60,MAE,0.22057392145489366
38,mean,fri_c4_1000_100,60,MAE,0.3831011894707375
39,mean,fri_c4_1000_100,60,MAE,0.31290594994190213
