,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,knn,wiscosin,10,"0,0449","0,0068"
1,knn,wiscosin,20,"0,0404","0,0036"
2,knn,wiscosin,40,"0,0452","0,0058"
3,knn,wiscosin,60,"0,0549","0,0131"
4,knn,pima_diabetes,10,"0,0847","0,0265"
5,knn,pima_diabetes,20,"0,1022","0,0061"
6,knn,pima_diabetes,40,"0,107","0,0092"
7,knn,pima_diabetes,60,"0,1093","0,014"
8,knn,bc_coimbra,10,"0,1482","0,0493"
9,knn,bc_coimbra,20,"0,164","0,0384"
10,knn,bc_coimbra,40,"0,1467","0,0549"
11,knn,bc_coimbra,60,"0,1588","0,0407"
12,knn,indian_liver,10,"0,0541","0,0239"
13,knn,indian_liver,20,"0,0952","0,0279"
14,knn,indian_liver,40,"0,1133","0,0297"
15,knn,indian_liver,60,"0,1029","0,0282"
16,knn,parkinsons,10,"0,0617","0,0243"
17,knn,parkinsons,20,"0,071","0,0072"
18,knn,parkinsons,40,"0,0863","0,016"
19,knn,parkinsons,60,"0,1062","0,0198"
20,knn,mammographic_masses,10,"0,0802","0,0162"
21,knn,mammographic_masses,20,"0,1253","0,0199"
22,knn,mammographic_masses,40,"0,1509","0,0319"
23,knn,mammographic_masses,60,"0,1745","0,0336"
24,knn,hcv_egyptian,10,"0,3426","0,0447"
25,knn,hcv_egyptian,20,"0,3144","0,0181"
26,knn,hcv_egyptian,40,"0,323","0,0239"
27,knn,hcv_egyptian,60,"0,3207","0,0178"
28,knn,thoracic_surgey,10,"0,0998","0,0199"
29,knn,thoracic_surgey,20,"0,107","0,0111"
30,knn,thoracic_surgey,40,"0,1093","0,0279"
31,knn,thoracic_surgey,60,"0,1219","0,0254"
