,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,lpr2,wiscosin,10,0.1033,0.0153
1,lpr2,wiscosin,20,0.1093,0.0072
2,lpr2,wiscosin,40,0.1111,0.0068
3,lpr2,wiscosin,60,0.1097,0.0071
4,lpr2,pima_diabetes,10,0.1272,0.015
5,lpr2,pima_diabetes,20,0.1287,0.011
6,lpr2,pima_diabetes,40,0.1282,0.0037
7,lpr2,pima_diabetes,60,0.1275,0.009
8,lpr2,bc_coimbra,10,0.1486,0.0696
9,lpr2,bc_coimbra,20,0.1333,0.0279
10,lpr2,bc_coimbra,40,0.1226,0.0369
11,lpr2,bc_coimbra,60,0.1468,0.055
12,lpr2,indian_liver,10,0.121,0.0143
13,lpr2,indian_liver,20,0.1126,0.0068
14,lpr2,indian_liver,40,0.1199,0.0099
15,lpr2,indian_liver,60,0.1169,0.0061
16,lpr2,parkinsons,10,0.1173,0.0335
17,lpr2,parkinsons,20,0.1488,0.0399
18,lpr2,parkinsons,40,0.137,0.039
19,lpr2,parkinsons,60,0.1346,0.0375
20,lpr2,mammographic_masses,10,0.2776,0.0065
21,lpr2,mammographic_masses,20,0.27,0.0105
22,lpr2,mammographic_masses,40,0.2722,0.0091
23,lpr2,mammographic_masses,60,0.2716,0.0072
24,lpr2,hcv_egyptian,10,0.3163,0.0041
25,lpr2,hcv_egyptian,20,0.321,0.0098
26,lpr2,hcv_egyptian,40,0.318,0.0042
27,lpr2,hcv_egyptian,60,0.3158,0.0055
28,lpr2,thoracic_surgey,10,0.1521,0.0225
29,lpr2,thoracic_surgey,20,0.1391,0.0169
30,lpr2,thoracic_surgey,40,0.1447,0.0139
31,lpr2,thoracic_surgey,60,0.1486,0.0134
