,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,mice,wiscosin,10,0.0494,0.0095
1,mice,wiscosin,20,0.0759,0.0067
2,mice,wiscosin,40,0.0925,0.0071
3,mice,wiscosin,60,0.1082,0.0061
4,mice,pima_diabetes,10,0.1646,0.0144
5,mice,pima_diabetes,20,0.152,0.0139
6,mice,pima_diabetes,40,0.1692,0.0126
7,mice,pima_diabetes,60,0.179,0.009
8,mice,bc_coimbra,10,0.187,0.0395
9,mice,bc_coimbra,20,0.178,0.0341
10,mice,bc_coimbra,40,0.2375,0.0407
11,mice,bc_coimbra,60,0.238,0.0475
12,mice,indian_liver,10,0.1411,0.0061
13,mice,indian_liver,20,0.1444,0.0099
14,mice,indian_liver,40,0.1634,0.0119
15,mice,indian_liver,60,0.1529,0.0059
16,mice,parkinsons,10,0.0979,0.0154
17,mice,parkinsons,20,0.1183,0.0387
18,mice,parkinsons,40,0.1271,0.0192
19,mice,parkinsons,60,0.1544,0.0214
20,mice,mammographic_masses,10,0.1403,0.035
21,mice,mammographic_masses,20,0.1341,0.0177
22,mice,mammographic_masses,40,0.1594,0.0102
23,mice,mammographic_masses,60,0.2093,0.0068
24,mice,hcv_egyptian,10,0.3893,0.0049
25,mice,hcv_egyptian,20,0.3939,0.006
26,mice,hcv_egyptian,40,0.4183,0.0116
27,mice,hcv_egyptian,60,0.4397,0.0077
28,mice,thoracic_surgey,10,0.1391,0.0166
29,mice,thoracic_surgey,20,0.1429,0.0102
30,mice,thoracic_surgey,40,0.1849,0.0269
31,mice,thoracic_surgey,60,0.2005,0.0144
