,Model,Dataset,Missing Rate,MAE_mean,MAE_std
0,knn,wiscosin,10,0.0647,0.0107
1,knn,wiscosin,20,0.0624,0.0074
2,knn,wiscosin,40,0.0716,0.0067
3,knn,wiscosin,60,0.094,0.011
4,knn,pima_diabetes,10,0.1009,0.0106
5,knn,pima_diabetes,20,0.1085,0.0109
6,knn,pima_diabetes,40,0.1079,0.0045
7,knn,pima_diabetes,60,0.111,0.0103
8,knn,bc_coimbra,10,0.1568,0.0669
9,knn,bc_coimbra,20,0.208,0.0738
10,knn,bc_coimbra,40,0.1957,0.0612
11,knn,bc_coimbra,60,0.2005,0.0591
12,knn,indian_liver,10,0.0743,0.0519
13,knn,indian_liver,20,0.0789,0.0492
14,knn,indian_liver,40,0.0783,0.0449
15,knn,indian_liver,60,0.0807,0.0351
16,knn,parkinsons,10,0.0889,0.0273
17,knn,parkinsons,20,0.0904,0.0229
18,knn,parkinsons,40,0.095,0.0159
19,knn,parkinsons,60,0.1162,0.0153
20,knn,mammographic_masses,10,0.1674,0.0551
21,knn,mammographic_masses,20,0.1969,0.0369
22,knn,mammographic_masses,40,0.2271,0.0549
23,knn,mammographic_masses,60,0.2623,0.0361
24,knn,hcv_egyptian,10,0.3203,0.0136
25,knn,hcv_egyptian,20,0.3237,0.0088
26,knn,hcv_egyptian,40,0.3223,0.0091
27,knn,hcv_egyptian,60,0.322,0.0089
28,knn,thoracic_surgey,10,0.1181,0.0409
29,knn,thoracic_surgey,20,0.1093,0.032
30,knn,thoracic_surgey,40,0.1389,0.0356
31,knn,thoracic_surgey,60,0.1458,0.0425
